# Vega Mags
# arm region extracted from square X=[2732,2988), Y=[3822, 4078) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.889827 0.984006 0.506400
25.795188 1.021603 0.593504
25.748684 1.080910 0.551895
25.878618 0.884119 0.587635
25.908094 0.873631 0.569574
25.897569 1.029561 0.473993
25.939233 0.949890 0.570868
25.765120 0.987973 0.633378
25.782831 0.973453 0.533951
25.860037 0.921978 0.505819
25.875442 0.956398 0.592444
25.838069 0.967432 0.560649
25.869187 0.972331 0.541468
25.880930 0.952881 0.615395
25.847495 1.019936 0.512956
25.838554 1.017676 0.536449
25.876195 0.989464 0.602413
25.796468 1.047141 0.578351
25.767083 0.884839 0.711957
25.735428 0.682474 0.598417
25.656911 0.706349 0.543348
25.575237 0.515325 0.657220
25.342304 0.462494 0.277326
25.392547 0.682283 0.038334
25.434220 0.408309 0.453134
25.233184 0.373505 0.305455
25.401537 0.561308 0.098221
25.578560 0.798506 0.311794
25.639523 1.092057 0.435854
25.635347 1.076753 0.526289
25.632739 1.009475 0.555155
25.763387 0.841807 0.557937
25.669521 0.919982 0.517804
25.664287 0.874309 0.438644
25.802336 0.764825 0.420460
25.717062 0.877561 0.530333
25.676463 0.868668 0.471210
25.674259 0.977169 0.368801
25.615399 0.974983 0.496310
25.580865 1.010165 0.364052
25.642144 0.951159 0.433543
25.668150 0.925264 0.397474
25.647613 0.811525 0.417982
25.591876 0.828239 0.459612
25.426304 0.902147 0.441615
25.150147 1.026297 0.418488
25.041933 0.959817 0.301036
24.662298 1.243483 0.394149
24.738957 1.223956 0.275052
25.208240 0.796666 0.246734
25.358244 0.824905 0.196435
25.467405 0.820616 0.319486
25.519398 0.821350 0.357885
25.484581 0.824101 0.358738
25.455172 0.900853 0.245360
25.498907 0.946437 0.252243
25.570052 0.903358 0.423162
25.704784 0.852106 0.401989
25.737896 0.712174 0.486960
25.687346 0.789390 0.448336
25.587393 0.890681 0.463516
25.597207 0.801827 0.456236
25.680218 0.770995 0.328934
25.802017 0.709908 0.491742
25.738698 0.754480 0.433493
25.658745 0.758215 0.353301
25.694444 0.727978 0.420938
25.649226 0.687737 0.392592
25.663712 0.678566 0.277793
25.679180 0.711128 0.430278
25.680092 0.673358 0.503285
25.632868 0.699684 0.413130
25.582205 0.810159 0.363515
25.531146 0.935912 0.470901
25.489182 0.970337 0.562321
25.564585 0.984451 0.553209
25.673843 0.967408 0.440700
25.712990 0.951577 0.404469
25.710640 0.898782 0.461252
25.721153 0.833775 0.361199
25.588432 0.899801 0.417363
25.414737 0.935595 0.509786
25.353483 1.051639 0.448570
25.456119 1.048518 0.448532
25.526872 0.977181 0.511737
25.561478 0.986748 0.471101
25.523150 0.989446 0.604291
25.559372 0.894969 0.642648
25.591586 0.902135 0.454423
25.597349 0.958381 0.396947
25.541699 0.872576 0.531911
25.490522 0.866908 0.441755
25.469664 0.794169 0.347818
25.451004 0.833122 0.331837
25.462403 0.873531 0.425148
25.514642 0.766904 0.422287
25.546765 0.765573 0.370345
25.540525 0.842569 0.461822
25.571433 0.799648 0.510827
25.641894 0.792179 0.440017
25.720912 0.899698 0.434462
25.682400 0.950401 0.509807
25.661205 1.059332 0.489886
25.732364 0.922888 0.582810
25.721425 0.862811 0.535836
25.741594 0.778391 0.479574
25.614231 0.821571 0.402179
25.478959 0.913599 0.378736
25.426174 0.922491 0.525757
25.540754 0.910068 0.450811
25.643400 0.764737 0.477395
26.143243 1.033103 0.656357
26.167955 1.079727 0.525259
26.162937 1.015494 0.516313
26.019616 1.091737 0.672631
26.007066 1.006925 0.635929
26.130969 0.782502 0.581202
26.163142 0.820361 0.640569
26.136295 0.931173 0.659494
26.173306 0.897052 0.570985
26.101214 0.919885 0.584181
26.134205 0.871380 0.459793
25.998493 0.851937 0.512887
25.929611 0.895596 0.571726
25.706136 1.142539 0.573957
25.827062 1.130373 0.516328
