logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.8566e-01,-9.9165e-01,1.9794e+00,3.3225e+00,2.6029e+01,-1.4123e+03
-2.9249e-01,-9.5091e-01,1.9391e+00,2.9942e+00,2.5915e+01,-1.4191e+03
-1.8565e-01,-9.7767e-01,1.9822e+00,3.4070e+00,2.6042e+01,-1.4146e+03
-1.8630e-01,-9.9621e-01,1.9824e+00,3.2093e+00,2.6032e+01,-1.4124e+03
-1.8992e-01,-9.8100e-01,1.9834e+00,3.3335e+00,2.6039e+01,-1.3975e+03
-2.7000e-01,-9.1928e-01,1.9712e+00,3.2959e+00,2.6009e+01,-1.4180e+03
-2.0135e-01,-9.8529e-01,1.9542e+00,3.2470e+00,2.5946e+01,-1.4035e+03
-1.8632e-01,-9.9957e-01,1.9787e+00,3.3217e+00,2.6033e+01,-1.4081e+03
-1.8703e-01,-9.9308e-01,1.9739e+00,3.2979e+00,2.6017e+01,-1.4079e+03
-2.0187e-01,-9.9717e-01,1.9408e+00,3.0841e+00,2.5905e+01,-1.4102e+03
-2.0449e-01,-9.7551e-01,1.9590e+00,3.2998e+00,2.5966e+01,-1.4185e+03
