nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,3.3400e+02,8.7720e+03,3.7973e+00,-1.6521e+04,-1.6532e+04,-6.6339e+00,-1.6532e+04,3.6082e-01,1.1239e+01,1.5161e+04,-7.8321e-01,-8.4242e-01,2.9533e+00,3.2498e+00
2.0000e+03,3.3500e+02,8.7840e+03,3.8035e+00,-1.6433e+04,-1.6444e+04,-6.6537e+00,-1.6444e+04,3.6136e-01,1.1259e+01,1.5129e+04,-4.9794e-01,-8.2863e-01,3.0415e+00,3.9276e+00
2.0000e+03,3.3600e+02,8.8320e+03,3.7942e+00,-1.6393e+04,-1.6404e+04,-6.6735e+00,-1.6404e+04,3.6191e-01,1.1279e+01,1.5041e+04,-3.4534e-01,-1.1848e+00,2.9959e+00,3.2297e+00
2.0000e+03,3.3700e+02,8.8640e+03,3.7918e+00,-1.5926e+04,-1.5937e+04,-6.6933e+00,-1.5937e+04,3.6245e-01,1.1298e+01,1.5001e+04,-1.3405e+00,-5.9045e-01,3.0319e+00,3.9647e+00
2.0000e+03,3.3800e+02,8.8700e+03,3.8004e+00,-1.5547e+04,-1.5559e+04,-6.7131e+00,-1.5559e+04,3.6299e-01,1.1318e+01,1.4534e+04,-1.8795e-01,-9.9736e-01,3.0348e+00,4.2374e+00
2.0000e+03,3.3900e+02,8.8840e+03,3.8057e+00,-1.5379e+04,-1.5391e+04,-6.7329e+00,-1.5391e+04,3.6353e-01,1.1338e+01,1.4155e+04,-6.3544e-01,-6.5251e-01,2.9694e+00,6.6350e+00
2.0000e+03,3.4000e+02,8.8920e+03,3.8135e+00,-1.5186e+04,-1.5197e+04,-6.7527e+00,-1.5197e+04,3.6407e-01,1.1358e+01,1.3987e+04,-2.5574e-02,-1.3310e+00,3.0551e+00,3.7014e+00
2.0000e+03,3.4100e+02,8.9930e+03,3.7819e+00,-1.4265e+04,-1.4277e+04,-6.7725e+00,-1.4277e+04,3.6460e-01,1.1378e+01,1.3793e+04,-4.7604e-01,-1.1908e+00,3.0097e+00,2.1755e-01
2.0000e+03,3.4200e+02,8.9970e+03,3.7913e+00,-1.3502e+04,-1.3513e+04,-6.7923e+00,-1.3513e+04,3.6514e-01,1.1397e+01,1.2873e+04,-7.3986e-01,-6.9137e-01,2.9842e+00,4.4253e+00
2.0000e+03,3.4300e+02,9.0080e+03,3.7977e+00,-1.3091e+04,-1.3102e+04,-6.8121e+00,-1.3102e+04,3.6568e-01,1.1417e+01,1.2109e+04,-2.0463e-01,-1.3044e+00,3.0655e+00,2.7108e+00
2.0000e+03,3.4400e+02,9.0140e+03,3.8063e+00,-1.3025e+04,-1.3036e+04,-6.8319e+00,-1.3036e+04,3.6621e-01,1.1437e+01,1.1699e+04,-5.4453e-02,-1.7906e+00,3.0085e+00,3.2354e+00
2.0000e+03,3.4500e+02,9.0870e+03,3.7868e+00,-1.2893e+04,-1.2904e+04,-6.8517e+00,-1.2904e+04,3.6675e-01,1.1457e+01,1.1633e+04,-7.7383e-01,-8.4287e-01,3.0481e+00,1.8798e+00
2.0000e+03,3.4600e+02,9.1840e+03,3.7579e+00,-1.2876e+04,-1.2888e+04,-6.8715e+00,-1.2888e+04,3.6728e-01,1.1477e+01,1.1500e+04,-1.0200e+00,-7.2396e-01,2.9883e+00,2.9982e+00
2.0000e+03,3.4700e+02,9.2090e+03,3.7585e+00,-1.2512e+04,-1.2523e+04,-6.8913e+00,-1.2523e+04,3.6782e-01,1.1496e+01,1.1484e+04,-7.7547e-01,-6.8989e-01,3.0166e+00,4.3780e+00
2.0000e+03,3.4800e+02,9.2100e+03,3.7689e+00,-1.2306e+04,-1.2317e+04,-6.9111e+00,-1.2317e+04,3.6835e-01,1.1516e+01,1.1120e+04,1.8133e-02,-1.7753e+00,3.0461e+00,3.3980e+00
2.0000e+03,3.4900e+02,9.2160e+03,3.7773e+00,-1.1980e+04,-1.1992e+04,-6.9309e+00,-1.1992e+04,3.6888e-01,1.1536e+01,1.0913e+04,-1.4671e-01,-1.8652e+00,3.0658e+00,1.4754e+00
2.0000e+03,3.5000e+02,9.2400e+03,3.7783e+00,-1.1614e+04,-1.1625e+04,-6.9507e+00,-1.1625e+04,3.6941e-01,1.1556e+01,1.0588e+04,-3.9150e-01,-1.4111e+00,2.9916e+00,1.6830e+00
2.0000e+03,3.5100e+02,9.2890e+03,3.7691e+00,-1.1506e+04,-1.1517e+04,-6.9705e+00,-1.1517e+04,3.6994e-01,1.1576e+01,1.0221e+04,-1.1660e+00,-5.5784e-01,2.9739e+00,5.7043e+00
2.0000e+03,3.5200e+02,9.3510e+03,3.7549e+00,-1.1501e+04,-1.1512e+04,-6.9903e+00,-1.1512e+04,3.6765e-01,1.1490e+01,1.0113e+04,-8.4320e-01,-5.8297e-01,2.9649e+00,6.7362e+00
2.0000e+03,3.5300e+02,9.3950e+03,3.7480e+00,-9.9249e+03,-9.9365e+03,-7.0101e+00,-9.9365e+03,3.7100e-01,1.1615e+01,1.0109e+04,-1.2581e-01,-1.4300e+00,3.0525e+00,3.0355e+00
2.0000e+03,3.5400e+02,9.5270e+03,3.7068e+00,-9.8612e+03,-9.8729e+03,-7.0299e+00,-9.8729e+03,3.7153e-01,1.1635e+01,8.5326e+03,-6.1953e-01,-1.1125e+00,3.0055e+00,1.5809e+00
2.0000e+03,3.5500e+02,9.5630e+03,3.7033e+00,-9.7338e+03,-9.7454e+03,-7.0497e+00,-9.7454e+03,3.7206e-01,1.1655e+01,8.4689e+03,-1.0353e+00,-8.2862e-01,3.0238e+00,3.4276e-01
2.0000e+03,3.5600e+02,9.5950e+03,3.7014e+00,-9.7272e+03,-9.7388e+03,-7.0695e+00,-9.7388e+03,3.7203e-01,1.1654e+01,8.3415e+03,-9.2707e-02,-1.9397e+00,3.0641e+00,2.4824e+00
2.0000e+03,3.5700e+02,9.6210e+03,3.7018e+00,-9.7248e+03,-9.7364e+03,-7.0893e+00,-9.7363e+03,3.5812e-01,1.1141e+01,8.3349e+03,-2.9272e-01,-1.7868e+00,3.0264e+00,1.3115e+00
