logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.0658e-01,-1.7826e+00,-1.0046e+00,-9.0964e-01,3.8496e-01,1.2681e+00,1.5336e+00,-2.6300e+04
-2.8338e-01,-1.9861e+00,-2.1944e+00,-2.5654e-01,-9.6733e-01,6.1635e-01,1.7804e+00,-3.2818e+04
-4.0583e-01,-1.3146e+00,-1.1489e+00,-3.0764e-01,-3.2181e-01,8.0779e-01,1.7521e+00,-3.4289e+04
-2.2068e-01,-1.8904e+00,-2.5187e+00,-1.4754e+00,2.7287e-01,1.2914e+00,1.5886e+00,-2.6331e+04
-4.9834e-01,-1.4831e+00,-2.2973e+00,-1.7288e+00,-3.1042e-01,1.1528e+00,1.6334e+00,-2.6594e+04
-8.0992e-02,-1.6922e+00,-2.1907e+00,-1.1196e+00,7.7414e-01,1.2996e+00,1.5083e+00,-3.3304e+04
-1.7452e-01,-1.4487e+00,-2.2540e+00,-1.1184e+00,2.3338e-01,1.4191e+00,1.5282e+00,-3.2489e+04
4.0094e-02,-1.9386e+00,-1.9194e+00,2.6389e-02,5.7442e-01,1.1095e+00,1.6399e+00,-3.3031e+04
-3.8061e-01,-1.3968e+00,-1.8062e+00,-2.0858e+00,-1.0119e+00,1.2743e+00,1.5685e+00,-3.4145e+04
-4.3101e-01,-1.7938e+00,-1.3990e+00,1.2131e-01,-8.4894e-01,6.5962e-01,1.7469e+00,-3.3640e+04
-2.7559e-01,-1.6563e+00,-1.9053e+00,-1.1818e+00,9.5565e-02,1.0990e+00,1.7268e+00,-3.1924e+04
-3.3501e-01,-1.8523e+00,-1.9554e+00,-9.8311e-01,-1.4241e+00,9.5701e-01,1.7595e+00,-3.1380e+04
-2.7818e-01,-1.9941e+00,-2.2343e+00,-9.4109e-01,5.2662e-01,9.2893e-01,1.6749e+00,-2.6842e+04
-3.5830e-01,-1.9472e+00,-2.9132e+00,-1.5989e+00,3.5828e-01,7.6660e-01,1.6935e+00,-3.0627e+04
-2.2420e-01,-1.5819e+00,-2.0574e+00,-3.2133e-01,2.4424e-01,1.2740e+00,1.4821e+00,-3.2674e+04
-4.1896e-01,-1.4273e+00,-2.3410e+00,-1.4158e+00,-7.3242e-01,1.2998e+00,1.6366e+00,-2.8990e+04
-4.7209e-01,-1.2729e+00,-1.4322e+00,-3.6600e-01,2.1822e-01,1.3288e+00,1.5502e+00,-2.8794e+04
-4.2423e-01,-1.5895e+00,-1.3472e+00,-9.5394e-01,-1.2554e+00,1.2860e+00,1.5609e+00,-2.4969e+04
-3.9242e-01,-1.7333e+00,-1.1820e+00,-1.6861e+00,-4.9947e-01,1.2922e+00,1.5738e+00,-2.3614e+04
-2.4156e-01,-1.5142e+00,-1.4286e+00,-6.0920e-01,7.1017e-01,7.2262e-01,1.7146e+00,-3.2374e+04
-6.3268e-02,-1.5666e+00,-1.0767e+00,-4.8747e-01,8.8520e-01,5.1802e-01,1.6562e+00,-3.4490e+04
