nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,logage
2.0000e+03,9.6000e+01,1.5500e+02,3.8039e+01,-3.8120e+09,-3.8120e+09,-9.6518e-01,-3.8120e+09,2.7612e+00,7.6621e+02,inf,-4.5960e-01,-1.9161e+00,6.5149e+00,9.9767e+00
2.0000e+03,9.7000e+01,1.5800e+02,3.7984e+01,-3.8104e+09,-3.8104e+09,-9.7513e-01,-3.8104e+09,,-4.0376e+02,inf,-6.8159e-01,-5.4401e-01,5.3442e+00,8.7689e+00
2.0000e+03,9.8000e+01,1.5900e+02,3.8224e+01,-3.7053e+09,-3.7053e+09,-9.8508e-01,-3.7053e+09,1.5356e+00,2.3700e+02,inf,-2.5445e-01,-1.0126e+00,6.6811e+00,9.4242e+00
2.0000e+03,9.9000e+01,1.6000e+02,3.8462e+01,-3.6857e+09,-3.6857e+09,-9.9503e-01,-3.6857e+09,2.9285e+00,8.6187e+02,inf,-6.6154e-01,-8.6267e-01,5.0834e+00,9.9913e+00
2.0000e+03,1.0000e+02,1.6500e+02,3.8113e+01,-3.6766e+09,-3.6766e+09,-1.0050e+00,-3.6766e+09,,-2.6880e+02,inf,-6.2501e-01,-5.8149e-02,6.5477e+00,8.2636e+00
2.0000e+03,1.0100e+02,1.6600e+02,3.8346e+01,-3.6759e+09,-3.6759e+09,-1.0149e+00,-3.6759e+09,1.8813e+00,3.5570e+02,inf,-6.8915e-01,-2.0135e-01,5.1696e+00,8.3623e+00
2.0000e+03,1.0200e+02,1.6800e+02,3.8433e+01,-3.6743e+09,-3.6743e+09,-1.0249e+00,-3.6743e+09,,-7.7232e+02,inf,3.7797e-01,-1.6142e+00,6.4257e+00,9.3959e+00
2.0000e+03,1.0300e+02,1.6900e+02,3.8662e+01,-3.6045e+09,-3.6045e+09,-1.0348e+00,-3.6045e+09,,-1.4522e+02,inf,-8.4066e-01,-9.9407e-01,5.2238e+00,9.2144e+00
2.0000e+03,1.0400e+02,1.7200e+02,3.8603e+01,-3.5839e+09,-3.5839e+09,-1.0448e+00,-3.5839e+09,2.1498e+00,4.6447e+02,inf,-6.1218e-01,-1.9379e+00,5.7265e+00,9.4614e+00
2.0000e+03,1.0500e+02,1.7300e+02,3.8828e+01,-3.5530e+09,-3.5530e+09,-1.0547e+00,-3.5530e+09,,-6.3012e+02,inf,-7.7423e-01,-6.9144e-01,6.2096e+00,8.7900e+00
2.0000e+03,1.0600e+02,1.7800e+02,3.8489e+01,-3.4631e+09,-3.4631e+09,-1.0647e+00,-3.4631e+09,,-2.5714e+01,inf,-1.4095e+00,-1.3151e+00,5.7108e+00,9.9917e+00
2.0000e+03,1.0700e+02,1.8000e+02,3.8571e+01,-3.4225e+09,-3.4225e+09,-1.0746e+00,-3.4225e+09,2.3522e+00,5.5607e+02,inf,-7.6010e-01,-1.2689e-01,5.9661e+00,8.2507e+00
2.0000e+03,1.0800e+02,1.8200e+02,3.8652e+01,-3.3963e+09,-3.3963e+09,-1.0846e+00,-3.3963e+09,,-4.9068e+02,inf,1.9752e-01,-3.3540e-01,5.6913e+00,8.4799e+00
2.0000e+03,1.0900e+02,1.8300e+02,3.8869e+01,-3.3708e+09,-3.3708e+09,-1.0945e+00,-3.3708e+09,9.2329e-01,8.5672e+01,inf,-4.2659e-01,-4.5352e-01,6.7607e+00,9.2748e+00
2.0000e+03,1.1000e+02,1.8400e+02,3.9085e+01,-3.3105e+09,-3.3105e+09,-1.1045e+00,-3.3105e+09,2.5365e+00,6.4662e+02,inf,-9.3586e-01,-1.3300e+00,5.1671e+00,9.5217e+00
2.0000e+03,1.1100e+02,1.8700e+02,3.9024e+01,-3.2885e+09,-3.2885e+09,-1.1144e+00,-3.2885e+09,,-3.6706e+02,inf,-1.1335e+00,-4.0518e-01,6.2247e+00,9.1113e+00
2.0000e+03,1.1200e+02,1.8800e+02,3.9236e+01,-3.2611e+09,-3.2611e+09,-1.1244e+00,-3.2611e+09,1.3751e+00,1.9003e+02,inf,-8.8520e-01,-1.4032e+00,6.3185e+00,9.1903e+00
2.0000e+03,1.1300e+02,1.9400e+02,3.8776e+01,-3.1204e+09,-3.1204e+09,-1.1343e+00,-3.1204e+09,2.6621e+00,7.1219e+02,inf,-8.1479e-01,-1.9877e+00,5.8771e+00,9.5941e+00
2.0000e+03,1.1400e+02,1.9500e+02,3.8983e+01,-3.1181e+09,-3.1181e+09,-1.1443e+00,-3.1181e+09,,-2.4547e+02,inf,-7.9152e-01,-1.7649e-01,5.8670e+00,8.3566e+00
2.0000e+03,1.1500e+02,2.0200e+02,3.8411e+01,-3.0823e+09,-3.0823e+09,-1.1542e+00,-3.0823e+09,1.6722e+00,2.8103e+02,inf,-1.0534e+00,-1.1609e+00,5.1458e+00,9.3017e+00
