logfeh_mean,logdust,logNpix,tau,logl
-4.9530e-01,-1.9942e+00,1.2184e+00,4.2150e+00,-4.5489e+04
-4.8540e-01,-1.9087e+00,1.2204e+00,4.5609e+00,-4.5475e+04
-4.8910e-01,-1.9182e+00,1.2163e+00,4.4229e+00,-4.5543e+04
-4.9302e-01,-1.8589e+00,1.2115e+00,4.6651e+00,-4.5550e+04
-4.8065e-01,-1.9112e+00,1.2234e+00,4.4301e+00,-4.5484e+04
-4.8905e-01,-1.9961e+00,1.2117e+00,4.5428e+00,-4.5463e+04
-4.9245e-01,-1.9140e+00,1.2098e+00,4.4110e+00,-4.5410e+04
-4.9360e-01,-1.9760e+00,1.2107e+00,4.5673e+00,-4.5469e+04
-4.9176e-01,-1.9251e+00,1.2117e+00,4.4890e+00,-4.5289e+04
-4.8837e-01,-1.9835e+00,1.2099e+00,4.5755e+00,-4.5310e+04
-4.8501e-01,-1.9665e+00,1.2189e+00,4.4168e+00,-4.5203e+04
-4.9651e-01,-1.9609e+00,1.2204e+00,4.2289e+00,-4.5480e+04
-4.9558e-01,-1.9156e+00,1.2120e+00,4.3896e+00,-4.5336e+04
-4.7630e-01,-1.9668e+00,1.2197e+00,4.3493e+00,-4.5277e+04
-4.9294e-01,-1.9610e+00,1.2091e+00,4.4227e+00,-4.5541e+04
-4.9578e-01,-1.9855e+00,1.2208e+00,4.1989e+00,-4.5409e+04
-4.8437e-01,-1.9956e+00,1.2102e+00,4.4669e+00,-4.5528e+04
-4.9107e-01,-1.9949e+00,1.2130e+00,4.3723e+00,-4.5517e+04
-4.8967e-01,-1.9616e+00,1.2092e+00,4.4386e+00,-4.5511e+04
-4.9322e-01,-1.8401e+00,1.2128e+00,4.5869e+00,-4.5539e+04
-4.9399e-01,-1.9378e+00,1.2260e+00,4.2597e+00,-4.5504e+04
-4.9061e-01,-1.9862e+00,1.2105e+00,4.4824e+00,-4.5399e+04
-4.9131e-01,-1.9088e+00,1.2082e+00,4.6064e+00,-4.5319e+04
-4.9916e-01,-1.9183e+00,1.2252e+00,4.3018e+00,-4.5548e+04
-4.9456e-01,-1.9040e+00,1.2064e+00,4.6514e+00,-4.5565e+04
-4.9842e-01,-1.9858e+00,1.2159e+00,4.3797e+00,-4.5551e+04
-4.9209e-01,-1.9579e+00,1.2096e+00,4.4532e+00,-4.5145e+04
-4.8875e-01,-1.9824e+00,1.2092e+00,4.5657e+00,-4.5543e+04
-4.9034e-01,-1.9463e+00,1.2164e+00,4.4950e+00,-4.5562e+04
-4.8171e-01,-1.9963e+00,1.2171e+00,4.5040e+00,-4.5435e+04
-4.8839e-01,-1.9520e+00,1.2160e+00,4.5429e+00,-4.5532e+04
-4.9788e-01,-1.9911e+00,1.2236e+00,4.2922e+00,-4.5368e+04
-4.9739e-01,-1.9286e+00,1.2222e+00,4.3210e+00,-4.5489e+04
-4.8881e-01,-1.9898e+00,1.2124e+00,4.6712e+00,-4.5563e+04
-4.9805e-01,-1.9648e+00,1.2187e+00,4.3750e+00,-4.5500e+04
-4.8799e-01,-1.9941e+00,1.2104e+00,4.5217e+00,-4.5479e+04
-4.9589e-01,-1.9461e+00,1.2235e+00,4.2422e+00,-4.5537e+04
-4.9656e-01,-1.9062e+00,1.2208e+00,4.2809e+00,-4.5509e+04
-4.9345e-01,-1.9292e+00,1.2225e+00,4.1905e+00,-4.5188e+04
-4.9152e-01,-1.9910e+00,1.2073e+00,4.5778e+00,-4.5506e+04
-4.9340e-01,-1.9677e+00,1.2223e+00,4.1847e+00,-4.5492e+04
-4.9729e-01,-1.9739e+00,1.2238e+00,4.3288e+00,-4.5550e+04
-4.9523e-01,-1.9818e+00,1.2159e+00,4.4131e+00,-4.5506e+04
-4.8741e-01,-1.9745e+00,1.2091e+00,4.5513e+00,-4.5474e+04
-4.8777e-01,-1.9784e+00,1.2083e+00,4.5113e+00,-4.5484e+04
-4.8689e-01,-1.9559e+00,1.2200e+00,4.5871e+00,-4.5444e+04
-4.9228e-01,-1.9886e+00,1.2167e+00,4.5810e+00,-4.5552e+04
-4.9443e-01,-1.9537e+00,1.2160e+00,4.4028e+00,-4.5466e+04
-4.8875e-01,-1.9674e+00,1.2107e+00,4.4385e+00,-4.5545e+04
-4.9652e-01,-1.9166e+00,1.2237e+00,4.2739e+00,-4.5508e+04
-4.9347e-01,-1.9397e+00,1.2212e+00,4.2296e+00,-4.5295e+04
-4.8971e-01,-1.9862e+00,1.2149e+00,4.5720e+00,-4.5440e+04
