logfeh_mean,logfeh_std,logdust_med,dust_sig,logNpix,tau,dmod,logl
5.9647e-02,1.9256e-01,-5.9174e-01,3.7060e-01,1.6029e+00,1.1348e+00,2.6909e+01,-1.3589e+05
-4.7856e-01,3.3887e-01,-1.8348e-01,1.2695e-01,3.1906e+00,1.9921e-01,2.5811e+01,-1.5963e+05
-4.1158e-01,3.3516e-01,-8.6153e-01,2.3640e-01,2.9111e+00,2.5228e+00,2.5283e+01,-1.5838e+05
2.0263e-01,3.6352e-01,-2.7776e-01,2.6855e-01,2.5688e+00,7.7920e+00,2.8555e+01,-1.3746e+05
-1.3021e-01,1.4405e-01,-8.8415e-01,3.8938e-01,2.0977e+00,1.5809e+00,2.6074e+01,-1.0572e+04
7.0640e-02,3.7906e-01,-4.9845e-01,2.7159e-01,2.3896e+00,1.1157e+00,2.8406e+01,-1.4616e+05
-2.0654e-01,2.9958e-02,-4.9940e-01,2.2069e-01,1.8931e+00,1.1335e-01,2.7233e+01,-1.3997e+05
-1.2101e-01,5.0787e-02,-1.7726e-01,1.1127e-01,1.0388e+00,1.8778e+00,2.5421e+01,-1.2742e+05
1.1947e-01,2.9161e-01,-7.5544e-01,4.4258e-02,2.7070e+00,5.6777e+00,2.8591e+01,-9.2576e+04
-3.5492e-01,3.0122e-01,-4.3270e-02,2.1604e-01,2.7202e+00,2.8199e-01,2.7537e+01,-1.4134e+04
1.4922e-02,7.2507e-02,-3.2758e-01,3.4938e-02,2.7271e+00,6.8488e+00,2.7112e+01,-1.3097e+05
-1.7263e-01,1.5980e-01,-6.1928e-01,2.0552e-01,3.0359e+00,1.6173e+00,2.6170e+01,-1.5910e+05
8.2348e-02,4.3242e-02,-6.7758e-01,1.6331e-01,3.0091e+00,3.6547e+00,2.7337e+01,-1.5184e+05
-1.8597e-01,1.9501e-01,-6.2845e-01,7.9314e-02,2.8273e+00,7.5440e+00,2.8824e+01,-3.6035e+04
-4.2914e-01,2.7782e-01,-3.7216e-01,3.5717e-01,2.3602e+00,3.3016e+00,2.7778e+01,-1.1570e+05
-9.6027e-02,2.9373e-01,-9.8002e-01,3.0803e-01,3.2048e+00,4.0567e+00,2.8417e+01,-1.4706e+05
-2.1070e-01,1.8021e-01,-6.7835e-02,3.4970e-01,2.7807e+00,3.3060e-01,2.5536e+01,-1.5497e+05
-3.5281e-01,1.1053e-01,-1.7549e-01,3.6066e-01,1.1115e+00,4.6291e+00,2.9028e+01,-1.5868e+05
-1.8462e-01,2.1960e-01,-7.1386e-01,2.7029e-01,1.3612e+00,6.5959e+00,2.9037e+01,-1.4756e+05
-3.5629e-01,2.6256e-01,-1.6754e-01,1.9853e-01,3.3214e+00,9.6033e-01,2.7312e+01,-1.5935e+05
1.6476e-01,1.9669e-01,-5.3378e-01,9.4482e-02,1.1549e+00,4.9653e+00,2.7823e+01,-1.4455e+05
-4.1883e-01,3.0182e-01,-8.1652e-01,1.5248e-01,2.9219e+00,5.1870e+00,2.8108e+01,-1.3939e+05
7.0895e-02,1.2893e-01,-5.0761e-01,2.7913e-01,3.0399e+00,6.1689e+00,2.6500e+01,-1.5457e+05
-8.9839e-02,1.1297e-01,-5.5640e-01,3.2781e-01,1.4155e+00,1.9169e+00,2.8959e+01,-1.5393e+05
-1.1106e-01,1.5179e-01,-6.4700e-01,3.5643e-01,1.9706e+00,3.7990e-01,2.5542e+01,-1.6435e+04
5.5323e-02,2.3443e-01,-2.5414e-01,1.9305e-01,1.6227e+00,7.9680e+00,2.9448e+01,-1.4861e+05
1.0281e-01,1.7636e-01,-7.8684e-01,1.3189e-01,3.4917e+00,2.0609e+00,2.8998e+01,-1.2958e+05
-4.8584e-01,2.0253e-01,-2.6598e-01,2.7976e-01,2.6851e+00,5.5763e+00,2.6836e+01,-1.4772e+05
-3.2567e-01,3.1832e-01,-2.7329e-01,2.8845e-01,1.1270e+00,1.9916e+00,2.6855e+01,-1.3508e+05
-1.3619e-01,3.0999e-01,-4.8742e-01,1.0794e-01,2.6029e+00,6.5999e+00,2.8824e+01,-1.3651e+05
1.5836e-01,1.9159e-01,-5.9474e-01,3.6191e-01,1.5623e+00,9.2125e-01,2.6330e+01,-1.3637e+05
-9.0021e-02,3.3432e-01,-2.4569e-01,2.4456e-01,2.4838e+00,5.0662e+00,2.6210e+01,-1.3191e+05
1.7172e-01,1.0103e-01,-8.7565e-01,1.8100e-01,1.8969e+00,5.7428e+00,2.5003e+01,-1.0792e+05
-3.1003e-01,2.1260e-01,-8.1544e-01,4.1692e-02,2.4677e+00,5.7867e+00,2.7371e+01,-7.7508e+04
1.9197e-01,8.4646e-02,-2.8162e-01,3.5052e-01,1.5172e+00,7.7950e+00,2.8771e+01,-1.4370e+05
1.8751e-01,3.4327e-02,-7.1415e-01,3.3270e-01,2.0989e+00,5.0862e-01,2.5740e+01,-3.2711e+04
-4.8763e-01,3.1732e-01,-6.5088e-01,3.0488e-01,1.2198e+00,7.1777e-01,2.8947e+01,-1.5561e+05
-2.2217e-01,6.2166e-02,-5.9478e-01,2.6749e-01,2.7452e+00,1.6996e+00,2.7219e+01,-1.0251e+05
