logfeh_mean,logdust,logNpix,tau,logl
2.9974e-01,-1.9740e+00,2.0734e+00,4.6838e+00,-5.4803e+04
-3.6209e-01,-1.8990e+00,2.0739e+00,8.4781e-01,-5.0132e+04
-3.5005e-01,-1.7101e+00,2.0132e+00,1.4308e-01,-4.2159e+04
-4.6018e-01,-1.5741e+00,1.8582e+00,4.4550e+00,-3.5803e+04
-4.6986e-01,-1.3812e+00,1.9089e+00,4.8582e+00,-2.1335e+04
-1.4896e-02,-1.3835e+00,2.0287e+00,4.4737e+00,-3.8974e+04
-2.3455e-01,-1.7396e+00,1.8685e+00,3.5730e+00,-5.9680e+04
-2.8656e-01,-1.6243e+00,1.9889e+00,3.4084e+00,-2.3697e+04
-3.5226e-01,-1.4564e+00,2.0304e+00,1.3463e+00,-5.1275e+04
-4.9446e-01,-1.5774e+00,1.9342e+00,2.6922e+00,-2.6486e+04
-9.4881e-02,-1.5465e+00,1.9866e+00,4.8811e+00,-2.2190e+04
-4.4491e-01,-1.4000e+00,1.9389e+00,2.4353e+00,-4.4550e+04
-4.6056e-01,-1.9298e+00,1.8949e+00,4.1706e+00,-2.5470e+04
2.6632e-02,-1.2785e+00,2.0303e+00,4.3079e+00,-5.6801e+04
8.1879e-02,-1.8680e+00,2.0803e+00,4.0813e+00,-4.8569e+04
-3.8198e-01,-1.6650e+00,1.9818e+00,4.7540e+00,-3.6880e+04
-4.3215e-01,-1.7424e+00,1.9967e+00,1.8686e+00,-2.8684e+04
6.4365e-02,-1.3848e+00,2.0043e+00,4.9648e+00,-4.2296e+04
-3.3381e-01,-1.6525e+00,1.9380e+00,1.8416e+00,-5.9038e+04
-9.0390e-02,-1.3663e+00,2.0030e+00,4.0665e+00,-4.1428e+04
-4.6637e-01,-1.2853e+00,2.0148e+00,1.2730e+00,-5.0064e+04
1.3813e-01,-1.3697e+00,2.0771e+00,4.8264e+00,-5.2854e+04
