nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,2.1400e+02,1.7020e+03,1.2272e+01,-4.1143e+05,-4.1144e+05,-4.2576e+00,-4.1144e+05,4.1893e-01,8.8627e+00,1.5284e+05,-1.2558e+00,-1.0900e+00,1.7752e+00,5.7474e+00
2.0000e+03,2.1500e+02,1.7160e+03,1.2231e+01,-4.0973e+05,-4.0974e+05,-4.2774e+00,-4.0974e+05,4.1940e-01,8.8825e+00,1.5179e+05,-1.3522e+00,-1.7648e+00,1.9247e+00,5.4648e+00
2.0000e+03,2.1600e+02,1.7170e+03,1.2281e+01,-4.0955e+05,-4.0956e+05,-4.2972e+00,-4.0956e+05,4.1987e-01,8.9023e+00,1.5009e+05,-2.7171e-01,-1.9045e+00,1.7709e+00,6.4163e+00
2.0000e+03,2.1700e+02,1.7330e+03,1.2227e+01,-4.0616e+05,-4.0617e+05,-4.3170e+00,-4.0617e+05,4.2034e-01,8.9221e+00,1.4991e+05,-1.2562e+00,-1.8418e+00,1.9157e+00,5.6826e+00
2.0000e+03,2.1800e+02,1.7450e+03,1.2201e+01,-4.0535e+05,-4.0536e+05,-4.3368e+00,-4.0536e+05,4.2080e-01,8.9420e+00,1.4652e+05,-1.1169e+00,-1.7366e+00,1.9098e+00,6.5618e+00
2.0000e+03,2.1900e+02,1.7580e+03,1.2168e+01,-4.0377e+05,-4.0378e+05,-4.3566e+00,-4.0378e+05,4.2127e-01,8.9617e+00,1.4571e+05,-8.6929e-01,-1.7682e+00,1.5772e+00,5.9776e+00
2.0000e+03,2.2000e+02,1.7680e+03,1.2156e+01,-4.0359e+05,-4.0359e+05,-4.3764e+00,-4.0359e+05,4.2173e-01,8.9816e+00,1.4413e+05,-1.3627e+00,-1.3588e+00,1.6846e+00,4.6603e+00
2.0000e+03,2.2100e+02,1.7990e+03,1.2006e+01,-4.0288e+05,-4.0289e+05,-4.3962e+00,-4.0289e+05,4.2220e-01,9.0013e+00,1.6403e+05,-4.1140e-01,-1.7349e+00,1.7623e+00,6.4600e+00
2.0000e+03,2.2200e+02,1.8000e+03,1.2054e+01,-4.0131e+05,-4.0132e+05,-4.4160e+00,-4.0132e+05,4.2266e-01,9.0212e+00,1.6332e+05,-1.0044e+00,-1.9100e+00,1.9109e+00,6.0082e+00
2.0000e+03,2.2300e+02,1.8030e+03,1.2089e+01,-4.0001e+05,-4.0002e+05,-4.4358e+00,-4.0002e+05,4.2312e-01,9.0410e+00,1.6175e+05,-3.6811e-01,-1.9865e+00,1.7349e+00,6.4727e+00
2.0000e+03,2.2400e+02,1.8050e+03,1.2129e+01,-3.9877e+05,-3.9878e+05,-4.4556e+00,-3.9878e+05,4.2359e-01,9.0608e+00,1.6045e+05,-1.2989e+00,-1.3325e+00,1.5961e+00,5.5110e+00
2.0000e+03,2.2500e+02,1.8090e+03,1.2157e+01,-3.9843e+05,-3.9844e+05,-4.4754e+00,-3.9844e+05,4.2405e-01,9.0806e+00,1.5921e+05,-1.3969e+00,-1.8399e+00,1.4442e+00,5.8703e+00
2.0000e+03,2.2600e+02,1.8130e+03,1.2185e+01,-3.9600e+05,-3.9601e+05,-4.4952e+00,-3.9601e+05,4.2451e-01,9.1004e+00,1.5887e+05,-1.0540e+00,-1.6990e+00,1.8898e+00,5.0339e+00
2.0000e+03,2.2700e+02,1.8140e+03,1.2232e+01,-3.9543e+05,-3.9544e+05,-4.5150e+00,-3.9544e+05,4.2497e-01,9.1202e+00,1.5644e+05,-8.9820e-01,-1.5354e+00,1.5970e+00,6.3610e+00
2.0000e+03,2.2800e+02,1.8170e+03,1.2266e+01,-3.9473e+05,-3.9474e+05,-4.5348e+00,-3.9474e+05,4.2544e-01,9.1400e+00,1.5587e+05,-2.4719e-01,-1.9891e+00,1.8051e+00,6.6224e+00
2.0000e+03,2.2900e+02,1.8180e+03,1.2313e+01,-3.9405e+05,-3.9405e+05,-4.5546e+00,-3.9405e+05,4.2590e-01,9.1598e+00,1.5517e+05,-1.3268e+00,-1.9460e+00,1.7263e+00,3.9706e+00
2.0000e+03,2.3000e+02,1.8470e+03,1.2177e+01,-3.9106e+05,-3.9107e+05,-4.5744e+00,-3.9107e+05,4.2636e-01,9.1796e+00,1.5448e+05,-6.2248e-01,-1.5512e+00,1.7695e+00,6.3274e+00
2.0000e+03,2.3100e+02,1.8490e+03,1.2217e+01,-3.9091e+05,-3.9092e+05,-4.5942e+00,-3.9092e+05,4.2682e-01,9.1994e+00,1.5150e+05,-9.1418e-01,-1.5594e+00,1.6436e+00,5.8304e+00
2.0000e+03,2.3200e+02,1.8530e+03,1.2244e+01,-3.9048e+05,-3.9049e+05,-4.6140e+00,-3.9049e+05,4.2727e-01,9.2192e+00,1.5135e+05,-1.4694e+00,-1.3935e+00,1.9151e+00,4.7926e+00
2.0000e+03,2.3300e+02,1.8570e+03,1.2271e+01,-3.8934e+05,-3.8935e+05,-4.6338e+00,-3.8935e+05,4.2773e-01,9.2390e+00,1.5092e+05,-9.4495e-01,-1.8013e+00,1.8639e+00,4.9234e+00
2.0000e+03,2.3400e+02,1.8630e+03,1.2284e+01,-3.8907e+05,-3.8908e+05,-4.6536e+00,-3.8908e+05,4.2819e-01,9.2588e+00,1.4978e+05,-7.3553e-01,-1.8597e+00,1.5993e+00,6.4915e+00
2.0000e+03,2.3500e+02,1.8650e+03,1.2324e+01,-3.8788e+05,-3.8789e+05,-4.6734e+00,-3.8789e+05,4.2865e-01,9.2786e+00,1.4951e+05,-1.0120e+00,-1.5142e+00,1.5830e+00,6.0947e+00
2.0000e+03,2.3600e+02,1.8700e+03,1.2344e+01,-3.8771e+05,-3.8772e+05,-4.6932e+00,-3.8772e+05,4.2911e-01,9.2984e+00,1.4832e+05,-9.3201e-01,-1.3337e+00,1.5965e+00,6.8870e+00
2.0000e+03,2.3700e+02,1.8820e+03,1.2319e+01,-3.8621e+05,-3.8622e+05,-4.7130e+00,-3.8622e+05,4.2956e-01,9.3182e+00,1.4815e+05,-1.3554e+00,-1.2366e+00,1.9010e+00,6.1099e+00
2.0000e+03,2.3800e+02,1.8830e+03,1.2364e+01,-3.8563e+05,-3.8564e+05,-4.7328e+00,-3.8564e+05,4.3002e-01,9.3380e+00,1.4665e+05,-4.0816e-01,-1.6990e+00,1.8581e+00,6.9276e+00
2.0000e+03,2.3900e+02,1.8890e+03,1.2378e+01,-3.8433e+05,-3.8434e+05,-4.7526e+00,-3.8434e+05,4.3048e-01,9.3578e+00,1.4607e+05,-7.1062e-01,-1.9379e+00,1.6537e+00,6.1015e+00
2.0000e+03,2.4000e+02,1.9430e+03,1.2092e+01,-3.7579e+05,-3.7580e+05,-4.7724e+00,-3.7580e+05,4.3093e-01,9.3776e+00,1.4477e+05,-1.3573e+00,-1.8312e+00,1.4660e+00,6.0832e+00
2.0000e+03,2.4100e+02,1.9490e+03,1.2106e+01,-3.7190e+05,-3.7190e+05,-4.7922e+00,-3.7190e+05,4.3139e-01,9.3974e+00,1.3623e+05,-1.1121e+00,-1.7362e+00,1.5944e+00,5.4963e+00
2.0000e+03,2.4200e+02,1.9670e+03,1.2048e+01,-3.7156e+05,-3.7157e+05,-4.8120e+00,-3.7157e+05,4.3184e-01,9.4172e+00,1.3234e+05,-1.4539e+00,-1.2811e+00,1.8977e+00,6.8288e+00
