logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-4.1535e-01,-2.6959e-01,-2.2876e+00,6.9353e-02,-4.6670e-01,1.8567e+00,1.4086e+00,-6.6414e+04
-2.1616e-01,-4.5771e-01,-1.7347e+00,-9.0618e-01,-3.4600e-01,7.8925e-01,1.7400e+00,-8.4310e+04
-1.5717e-01,-6.1701e-01,-1.4501e+00,2.8641e-02,2.1615e-02,9.6467e-01,1.4523e+00,-9.7938e+04
1.4895e-01,-8.2672e-01,-1.6064e+00,-2.7903e-01,3.3707e-01,9.1658e-01,1.1714e+00,-1.2014e+05
-4.9422e-01,-2.6294e-02,-1.6795e+00,-1.5276e+00,-1.0870e+00,1.8195e+00,2.0810e+00,-9.8850e+04
-3.1434e-01,-4.9628e-01,-1.6274e+00,-5.4652e-01,5.6196e-01,1.6193e+00,1.3564e+00,-3.4842e+04
-6.2603e-02,-3.0675e-02,-8.8146e-01,-1.6409e+00,4.5191e-01,8.0971e-01,1.8042e+00,-9.0133e+04
8.5177e-03,-6.3214e-01,-2.4903e+00,-9.2817e-01,7.3886e-01,1.4549e+00,1.7740e+00,-8.6399e+03
3.2493e-02,-2.4735e-01,-1.5874e+00,-1.0178e+00,-5.6648e-01,8.0340e-01,2.1868e+00,-2.8711e+04
1.0847e-01,-1.2729e-01,-1.4343e+00,-5.5621e-01,6.6297e-01,1.0058e+00,1.4243e+00,-1.1714e+05
1.1063e-01,-3.0285e-01,-1.9471e+00,-1.7224e+00,7.8430e-01,1.3191e+00,9.4863e-01,-1.0766e+05
2.0967e-01,-3.2217e-02,-1.9086e+00,1.6182e-01,1.3073e-01,1.5937e+00,1.8698e+00,-1.7731e+04
1.2417e-01,-2.2144e-01,-1.6694e+00,-5.0688e-01,3.4481e-01,1.2413e+00,2.4860e+00,-1.1581e+05
-1.7432e-01,-4.2046e-01,-1.8153e+00,2.6195e-01,-1.6171e-01,1.3219e+00,1.8352e+00,-2.0936e+04
8.2915e-02,-9.4104e-01,-2.6081e+00,-4.0531e-01,-7.7040e-02,1.0014e+00,1.5492e+00,-1.0050e+05
5.2149e-02,-6.9955e-01,-2.3575e+00,-1.0603e+00,1.9518e-01,1.1413e+00,1.5577e+00,-9.3319e+04
1.0776e-01,-3.5899e-02,-8.5088e-01,-5.5146e-01,-5.0072e-01,1.9454e+00,1.0368e+00,-2.5263e+03
-3.3069e-01,-6.3729e-01,-1.9418e+00,1.5546e-01,3.5035e-02,4.8211e-01,2.1285e+00,-7.4677e+04
2.0032e-01,-8.6586e-01,-8.0175e-01,-1.4260e+00,5.1773e-01,1.4637e+00,1.7437e+00,-4.5997e+03
-4.6570e-01,-3.3056e-01,-1.6865e+00,-4.3134e-01,-4.4339e-01,3.8931e-01,2.3380e+00,-1.1181e+05
-2.9549e-01,-3.0215e-01,-1.7416e+00,-1.1632e+00,-3.9791e-01,9.5953e-01,1.7744e+00,-7.2120e+04
1.6742e-01,-8.3153e-01,-9.9918e-01,-3.2824e-01,-2.7951e-01,1.8352e+00,1.4056e+00,-2.8592e+04
-7.7187e-02,-9.7344e-01,-2.0062e+00,-1.0101e+00,-9.4124e-01,1.9910e-01,1.6204e+00,-1.1434e+05
-2.3344e-01,-4.1618e-03,-8.7790e-01,-1.4715e+00,-8.7020e-02,1.0631e+00,1.7377e+00,-9.4282e+04
1.9796e-01,-4.8466e-01,-1.1471e+00,2.9757e-02,4.0161e-01,1.0374e+00,1.0834e+00,-1.1796e+05
2.2870e-01,-8.8762e-01,-9.5009e-01,1.3917e-01,-3.0523e-03,4.9278e-01,1.5459e+00,-1.0812e+05
-3.6628e-01,-2.4784e-01,-2.6654e+00,-1.5685e+00,-1.0466e+00,1.0392e+00,2.1432e+00,-2.6640e+04
-1.6021e-01,-9.0256e-02,-1.5474e+00,-2.2190e-01,-9.9522e-01,2.0872e+00,1.3741e+00,-7.9070e+04
-4.9517e-01,-5.2722e-01,-1.7221e+00,-1.4294e+00,1.8474e-01,3.6948e-01,1.8438e+00,-3.1329e+04
2.3677e-01,-8.6749e-01,-2.6458e+00,-1.5980e+00,-9.3144e-01,1.7473e+00,2.1947e+00,-1.0526e+05
8.7723e-02,-9.2286e-01,-8.2232e-01,3.1880e-02,1.3714e-01,1.9667e+00,1.7318e+00,-1.1967e+05
-1.3331e-01,-3.1420e-01,-2.2031e+00,-3.8039e-01,-1.3227e-01,1.6909e+00,1.3732e+00,-1.3143e+04
5.9647e-02,-5.4589e-01,-1.9498e+00,1.1150e-01,-8.2229e-01,3.7056e-01,1.6993e+00,-1.0064e+05
-9.3510e-02,-5.5630e-02,-2.1198e+00,-1.5389e+00,7.7104e-01,1.8227e+00,9.8761e-01,-9.5825e+03
-4.8224e-01,-7.9868e-01,-2.3630e+00,-1.7198e+00,5.3719e-01,5.7180e-01,1.4513e+00,-1.0003e+05
3.1365e-03,-9.1044e-01,-2.5244e+00,-6.8207e-01,1.9689e-02,1.1308e-01,1.7052e+00,-9.7561e+04
