logfeh_mean,logdust_med,logNpix,tau,logl
-4.7523e-01,-3.2005e-02,2.7508e+00,3.2692e+00,-3.5252e+03
-4.9284e-01,-1.2268e-01,2.7133e+00,3.6141e+00,-3.5287e+03
-4.9293e-01,-1.1667e-01,2.7137e+00,3.6417e+00,-3.5252e+03
-4.9165e-01,-1.1993e-01,2.7119e+00,3.6342e+00,-3.5236e+03
-4.8662e-01,-1.5020e-01,2.7058e+00,3.5937e+00,-3.5167e+03
-4.8610e-01,-1.3744e-01,2.7122e+00,3.5520e+00,-3.5243e+03
-4.8698e-01,-1.4674e-01,2.7115e+00,3.5562e+00,-3.5229e+03
-4.8540e-01,-1.5315e-01,2.7037e+00,3.7348e+00,-3.5307e+03
-4.9183e-01,-1.1121e-01,2.7169e+00,3.6275e+00,-3.5318e+03
-4.8847e-01,-1.6095e-01,2.7049e+00,3.6365e+00,-3.5293e+03
-4.9049e-01,-1.3399e-01,2.7112e+00,3.6132e+00,-3.5118e+03
-4.8865e-01,-1.4565e-01,2.7075e+00,3.7194e+00,-3.5292e+03
-4.7396e-01,-2.8775e-02,2.7528e+00,3.2597e+00,-3.5315e+03
-4.9310e-01,-1.1452e-01,2.7133e+00,3.6513e+00,-3.4975e+03
-4.8963e-01,-1.2036e-01,2.7132e+00,3.6534e+00,-3.5168e+03
-4.9173e-01,-1.2226e-01,2.7154e+00,3.6238e+00,-3.5086e+03
-4.8778e-01,-1.4579e-01,2.7064e+00,3.6837e+00,-3.5149e+03
-4.8568e-01,-1.3571e-01,2.7123e+00,3.5714e+00,-3.5116e+03
-4.9935e-01,-5.0848e-02,2.7405e+00,3.2792e+00,-3.5269e+03
-4.9919e-01,-5.9702e-02,2.7406e+00,3.2891e+00,-3.5297e+03
-4.8654e-01,-1.5580e-01,2.7042e+00,3.6092e+00,-3.5205e+03
-4.9298e-01,-1.3510e-01,2.7129e+00,3.6408e+00,-3.5206e+03
-4.6935e-01,-1.5798e-02,2.7553e+00,3.2719e+00,-3.5106e+03
-4.9282e-01,-1.2128e-01,2.7128e+00,3.6585e+00,-3.5238e+03
-4.8571e-01,-1.3175e-01,2.7113e+00,3.5594e+00,-3.5226e+03
-4.8784e-01,-1.4874e-01,2.7086e+00,3.6415e+00,-3.5251e+03
-4.9075e-01,-1.3262e-01,2.7129e+00,3.6245e+00,-3.5311e+03
-4.9264e-01,-1.0824e-01,2.7152e+00,3.6328e+00,-3.5325e+03
-4.9917e-01,-5.3442e-02,2.7412e+00,3.2768e+00,-3.5229e+03
-4.8787e-01,-1.4414e-01,2.7082e+00,3.6346e+00,-3.5308e+03
-4.9262e-01,-1.1214e-01,2.7149e+00,3.6330e+00,-3.5222e+03
-4.8753e-01,-1.3798e-01,2.7071e+00,3.6536e+00,-3.5162e+03
-4.8841e-01,-1.5138e-01,2.7088e+00,3.6419e+00,-3.5322e+03
-4.9117e-01,-1.3345e-01,2.7121e+00,3.6374e+00,-3.5307e+03
-4.8699e-01,-1.3446e-01,2.7115e+00,3.5518e+00,-3.5324e+03
-4.9336e-01,-1.1304e-01,2.7141e+00,3.6493e+00,-3.5300e+03
-4.8991e-01,-1.2908e-01,2.7117e+00,3.6453e+00,-3.5312e+03
-4.9845e-01,-1.0456e-01,2.7220e+00,3.4897e+00,-3.5324e+03
-4.8532e-01,-1.4111e-01,2.7101e+00,3.5897e+00,-3.5242e+03
-4.8410e-01,-1.4082e-01,2.7104e+00,3.6001e+00,-3.5197e+03
-4.8948e-01,-1.4093e-01,2.7106e+00,3.6130e+00,-3.5316e+03
-4.9389e-01,-1.0034e-01,2.7260e+00,3.3871e+00,-3.5324e+03
-4.9273e-01,-1.2350e-01,2.7140e+00,3.6513e+00,-3.4954e+03
-4.9311e-01,-1.3593e-01,2.7134e+00,3.6367e+00,-3.5321e+03
-4.9178e-01,-1.1647e-01,2.7155e+00,3.6310e+00,-3.4981e+03
-4.9472e-01,-1.4017e-01,2.7120e+00,3.5378e+00,-3.5312e+03
-4.9329e-01,-1.1281e-01,2.7148e+00,3.6376e+00,-3.5181e+03
-4.8323e-01,-1.2689e-01,2.7134e+00,3.6138e+00,-3.5252e+03
-4.9001e-01,-1.1799e-01,2.7136e+00,3.6293e+00,-3.5199e+03
-4.9230e-01,-1.0917e-01,2.7145e+00,3.6427e+00,-3.5142e+03
-4.8564e-01,-1.3333e-01,2.7117e+00,3.5564e+00,-3.4775e+03
-4.8577e-01,-1.3509e-01,2.7113e+00,3.5584e+00,-3.5226e+03
-4.8576e-01,-1.4559e-01,2.7120e+00,3.5488e+00,-3.5252e+03
-4.9327e-01,-1.1645e-01,2.7144e+00,3.6423e+00,-3.5258e+03
-4.9267e-01,-1.2788e-01,2.7137e+00,3.6551e+00,-3.4936e+03
-4.8408e-01,-1.2276e-01,2.7135e+00,3.6535e+00,-3.5039e+03
-4.9173e-01,-1.3613e-01,2.7120e+00,3.6447e+00,-3.5269e+03
-4.8614e-01,-1.5942e-01,2.7038e+00,3.6041e+00,-3.5307e+03
-4.9280e-01,-1.1677e-01,2.7140e+00,3.6311e+00,-3.4973e+03
-4.9315e-01,-1.0901e-01,2.7129e+00,3.6478e+00,-3.5310e+03
-4.9970e-01,-6.2987e-02,2.7403e+00,3.2813e+00,-3.5279e+03
-4.9287e-01,-1.0279e-01,2.7136e+00,3.6460e+00,-3.5318e+03
-4.8785e-01,-1.4987e-01,2.7061e+00,3.5849e+00,-3.5276e+03
-4.8694e-01,-1.5713e-01,2.7036e+00,3.5890e+00,-3.5179e+03
