logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.2331e-01,-5.3070e-01,1.9990e+00,3.0402e+00,2.6014e+01,-9.2684e+02
-2.2519e-01,-5.4777e-01,2.0057e+00,2.9009e+00,2.6027e+01,-9.2013e+02
-2.4939e-01,-5.1880e-01,1.9941e+00,2.9680e+00,2.5999e+01,-9.2633e+02
-3.0915e-01,-4.8797e-01,2.0562e+00,2.8111e+00,2.6182e+01,-9.2790e+02
-2.5832e-01,-5.1462e-01,2.0037e+00,2.8544e+00,2.6016e+01,-9.1887e+02
-3.1733e-01,-4.6412e-01,2.0529e+00,2.7929e+00,2.6164e+01,-9.2783e+02
-2.2273e-01,-5.3764e-01,1.9992e+00,2.9020e+00,2.5999e+01,-9.2643e+02
-2.5071e-01,-4.9764e-01,2.0138e+00,2.9942e+00,2.6046e+01,-9.2754e+02
-2.0297e-01,-5.5647e-01,1.9940e+00,2.9853e+00,2.5994e+01,-9.2883e+02
-2.0390e-01,-5.5788e-01,1.9987e+00,3.0347e+00,2.6007e+01,-9.2666e+02
-2.5526e-01,-5.3502e-01,2.0079e+00,2.8791e+00,2.6048e+01,-9.2622e+02
-2.2192e-01,-5.3016e-01,1.9953e+00,3.0151e+00,2.5993e+01,-9.2697e+02
-2.2554e-01,-5.5875e-01,2.0101e+00,2.9080e+00,2.6044e+01,-9.2833e+02
-2.9881e-01,-4.8082e-01,2.0429e+00,2.7660e+00,2.6131e+01,-9.2752e+02
-2.3439e-01,-5.3120e-01,1.9954e+00,2.9405e+00,2.5997e+01,-9.2452e+02
-2.2044e-01,-5.3491e-01,2.0074e+00,2.9756e+00,2.6023e+01,-9.2867e+02
-2.2018e-01,-5.2801e-01,2.0004e+00,3.0437e+00,2.6011e+01,-9.2759e+02
-2.2853e-01,-5.2805e-01,2.0117e+00,2.9728e+00,2.6044e+01,-9.2410e+02
-2.6761e-01,-5.3566e-01,1.9985e+00,2.7868e+00,2.6016e+01,-9.2764e+02
-2.5566e-01,-5.1421e-01,1.9998e+00,2.8409e+00,2.6004e+01,-9.1805e+02
-2.8944e-01,-5.0413e-01,2.0195e+00,2.7539e+00,2.6067e+01,-9.2775e+02
-2.9819e-01,-4.7087e-01,2.0118e+00,2.8463e+00,2.6044e+01,-9.2127e+02
-3.0495e-01,-4.5293e-01,2.0313e+00,2.8219e+00,2.6081e+01,-9.2170e+02
-2.2198e-01,-5.4050e-01,1.9961e+00,2.9926e+00,2.5998e+01,-9.2200e+02
-2.7851e-01,-5.0285e-01,2.0176e+00,2.8065e+00,2.6067e+01,-9.2625e+02
-2.7817e-01,-4.7723e-01,2.0300e+00,2.9980e+00,2.6099e+01,-9.2526e+02
-2.5045e-01,-5.0139e-01,2.0103e+00,2.9591e+00,2.6034e+01,-9.2727e+02
-2.9124e-01,-4.9170e-01,2.0317e+00,2.7910e+00,2.6096e+01,-9.2513e+02
-2.5867e-01,-5.1995e-01,2.0053e+00,2.7938e+00,2.6023e+01,-9.2572e+02
-2.1860e-01,-5.5152e-01,1.9928e+00,2.9769e+00,2.5995e+01,-9.2802e+02
-2.2603e-01,-5.3678e-01,2.0046e+00,2.9653e+00,2.6022e+01,-9.1893e+02
-2.6996e-01,-5.2989e-01,2.0145e+00,2.8079e+00,2.6060e+01,-9.1933e+02
-2.5108e-01,-5.3759e-01,2.0124e+00,2.8439e+00,2.6047e+01,-9.2857e+02
-2.5204e-01,-5.1829e-01,2.0127e+00,2.8873e+00,2.6041e+01,-9.1943e+02
-2.7940e-01,-4.9072e-01,2.0348e+00,2.9282e+00,2.6116e+01,-9.2491e+02
-2.7012e-01,-5.2525e-01,2.0100e+00,2.8587e+00,2.6050e+01,-9.2456e+02
-2.9206e-01,-4.9372e-01,2.0228e+00,2.7571e+00,2.6070e+01,-9.2166e+02
-2.5179e-01,-5.1807e-01,2.0252e+00,2.9319e+00,2.6086e+01,-9.1857e+02
-2.7342e-01,-5.1127e-01,2.0194e+00,2.8763e+00,2.6075e+01,-9.2882e+02
-2.2039e-01,-5.6130e-01,2.0087e+00,2.8632e+00,2.6038e+01,-9.2296e+02
-2.5168e-01,-5.0662e-01,2.0202e+00,3.0682e+00,2.6076e+01,-9.2696e+02
-2.4994e-01,-5.2160e-01,2.0079e+00,2.9192e+00,2.6044e+01,-9.1561e+02
-2.4953e-01,-5.1364e-01,1.9999e+00,2.8752e+00,2.6003e+01,-9.2677e+02
-2.5728e-01,-5.2810e-01,1.9986e+00,2.8101e+00,2.5994e+01,-9.1733e+02
-2.5442e-01,-5.2180e-01,2.0057e+00,2.9239e+00,2.6036e+01,-9.2526e+02
-2.4975e-01,-5.3016e-01,2.0060e+00,2.8899e+00,2.6028e+01,-9.2244e+02
-2.2398e-01,-5.5905e-01,2.0142e+00,2.9122e+00,2.6062e+01,-9.2174e+02
-2.4548e-01,-5.2590e-01,2.0208e+00,2.9641e+00,2.6082e+01,-9.2487e+02
-2.5381e-01,-5.1013e-01,1.9862e+00,2.9140e+00,2.5967e+01,-9.2758e+02
-2.9975e-01,-4.9069e-01,2.0139e+00,2.7405e+00,2.6045e+01,-9.2313e+02
