nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,4.9600e+02,6.4370e+03,7.6615e+00,-2.2259e+03,-2.2403e+03,-9.8419e+00,-2.2403e+03,5.3417e-01,1.4409e+01,8.4216e+02,-6.2049e-01,-9.1222e-01,3.0011e+00
2.0000e+03,4.9700e+02,6.4430e+03,7.6698e+00,-2.2231e+03,-2.2375e+03,-9.8617e+00,-2.2375e+03,5.2715e-01,1.4033e+01,8.3625e+02,-7.1730e-01,-8.8581e-01,2.9969e+00
2.0000e+03,4.9800e+02,6.4440e+03,7.6840e+00,-2.1893e+03,-2.2038e+03,-9.8815e+00,-2.2038e+03,5.3561e-01,1.4487e+01,8.3337e+02,-4.1134e-01,-9.9348e-01,3.0168e+00
2.0000e+03,4.9900e+02,6.4450e+03,7.6982e+00,-2.1827e+03,-2.1972e+03,-9.9013e+00,-2.1972e+03,5.3561e-01,1.4487e+01,7.9972e+02,-6.7532e-01,-9.2957e-01,2.9964e+00
2.0000e+03,5.0000e+02,6.4590e+03,7.6970e+00,-2.1620e+03,-2.1766e+03,-9.9211e+00,-2.1766e+03,5.3634e-01,1.4526e+01,7.9304e+02,-5.2865e-01,-9.5677e-01,3.0132e+00
2.0000e+03,5.0100e+02,6.4730e+03,7.6958e+00,-2.1533e+03,-2.1678e+03,-9.9409e+00,-2.1678e+03,5.3665e-01,1.4543e+01,7.7240e+02,-5.3108e-01,-9.4231e-01,3.0102e+00
2.0000e+03,5.0200e+02,6.4780e+03,7.7053e+00,-2.1351e+03,-2.1497e+03,-9.9607e+00,-2.1497e+03,5.3707e-01,1.4566e+01,7.6365e+02,-6.6736e-01,-9.1591e-01,3.0035e+00
2.0000e+03,5.0300e+02,6.4830e+03,7.7147e+00,-2.1299e+03,-2.1444e+03,-9.9805e+00,-2.1444e+03,5.3626e-01,1.4522e+01,7.4552e+02,-4.7709e-01,-9.9128e-01,3.0137e+00
2.0000e+03,5.0400e+02,6.4850e+03,7.7276e+00,-2.1295e+03,-2.1436e+03,-1.0000e+01,-2.1432e+03,5.1695e-01,1.3495e+01,7.4022e+02,-4.3330e-01,-1.0092e+00,3.0012e+00
2.0000e+03,5.0500e+02,6.5000e+03,7.7252e+00,-2.0991e+03,-2.1137e+03,-1.0020e+01,-2.1137e+03,5.3816e-01,1.4625e+01,7.3899e+02,-3.2623e-01,-1.0648e+00,3.0110e+00
2.0000e+03,5.0600e+02,6.5020e+03,7.7381e+00,-2.0950e+03,-2.1096e+03,-1.0040e+01,-2.1096e+03,5.3551e-01,1.4481e+01,7.0948e+02,-4.5026e-01,-9.9379e-01,3.0145e+00
2.0000e+03,5.0700e+02,6.5060e+03,7.7486e+00,-2.0811e+03,-2.0958e+03,-1.0060e+01,-2.0958e+03,5.3889e-01,1.4665e+01,7.0533e+02,-3.8889e-01,-1.0347e+00,3.0116e+00
2.0000e+03,5.0800e+02,6.5160e+03,7.7521e+00,-2.0698e+03,-2.0845e+03,-1.0080e+01,-2.0845e+03,5.3925e-01,1.4684e+01,6.9152e+02,-3.8954e-01,-1.0213e+00,3.0156e+00
2.0000e+03,5.0900e+02,6.5370e+03,7.7425e+00,-2.0695e+03,-2.0836e+03,-1.0099e+01,-2.0833e+03,5.1928e-01,1.3617e+01,6.8021e+02,-3.5255e-01,-1.0422e+00,3.0107e+00
2.0000e+03,5.1000e+02,6.5430e+03,7.7506e+00,-2.0388e+03,-2.0535e+03,-1.0119e+01,-2.0535e+03,5.3998e-01,1.4724e+01,6.7896e+02,-3.3719e-01,-1.0783e+00,3.0064e+00
2.0000e+03,5.1100e+02,6.5460e+03,7.7623e+00,-2.0341e+03,-2.0489e+03,-1.0139e+01,-2.0489e+03,5.3833e-01,1.4635e+01,6.4913e+02,-6.3465e-01,-9.2089e-01,2.9980e+00
2.0000e+03,5.1200e+02,6.5490e+03,7.7739e+00,-2.0146e+03,-2.0294e+03,-1.0159e+01,-2.0294e+03,5.4071e-01,1.4764e+01,6.4449e+02,-5.8513e-01,-9.5515e-01,2.9918e+00
2.0000e+03,5.1300e+02,6.5520e+03,7.7855e+00,-2.0090e+03,-2.0238e+03,-1.0179e+01,-2.0238e+03,5.4020e-01,1.4736e+01,6.2500e+02,-4.2356e-01,-1.0277e+00,3.0007e+00
2.0000e+03,5.1400e+02,6.5550e+03,7.7971e+00,-1.9829e+03,-1.9977e+03,-1.0198e+01,-1.9977e+03,5.4143e-01,1.4804e+01,6.1936e+02,-6.0097e-01,-9.7327e-01,2.9945e+00
2.0000e+03,5.1500e+02,6.5570e+03,7.8099e+00,-1.9828e+03,-1.9970e+03,-1.0218e+01,-1.9966e+03,5.2122e-01,1.3719e+01,5.9327e+02,-6.4990e-01,-9.0597e-01,3.0012e+00
2.0000e+03,5.1600e+02,6.5590e+03,7.8227e+00,-1.9824e+03,-1.9967e+03,-1.0238e+01,-1.9960e+03,5.1203e-01,1.3239e+01,5.9213e+02,-3.6672e-01,-1.0260e+00,3.0146e+00
