logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.1681e-01,-1.6351e+00,2.3685e+00,4.4672e+00,2.5630e+01,-1.4934e+04
-3.1037e-03,-1.8354e+00,2.2502e+00,4.2260e+00,2.5097e+01,-3.2817e+04
-5.7800e-02,-1.3584e+00,1.5865e+00,4.1233e+00,2.3156e+01,-4.6591e+04
-6.9038e-02,-1.5962e+00,1.6826e+00,4.0025e+00,2.3633e+01,-4.3274e+04
-4.7490e-01,-1.5566e+00,1.7948e+00,3.4490e+00,2.3893e+01,-2.3318e+04
-4.0650e-01,-1.7180e+00,2.2081e+00,4.9185e+00,2.5541e+01,-3.7731e+04
-2.3303e-01,-1.4179e+00,2.2360e+00,3.7934e+00,2.5031e+01,-3.3312e+04
-1.6576e-01,-1.5816e+00,1.6973e+00,4.9058e+00,2.3773e+01,-2.8997e+04
-3.8169e-01,-1.9439e+00,2.5100e+00,1.2686e+00,2.5775e+01,-4.4711e+04
-4.7579e-01,-1.7737e+00,1.7822e+00,4.1322e+00,2.4017e+01,-2.5681e+04
-4.2393e-01,-1.4803e+00,1.5468e+00,2.4712e+00,2.3183e+01,-3.6432e+04
-3.5174e-01,-1.8755e+00,1.7269e+00,3.0300e+00,2.3793e+01,-2.6085e+04
-3.8087e-01,-1.5692e+00,1.6332e+00,2.1360e+00,2.3257e+01,-4.0567e+04
-4.5270e-01,-1.4553e+00,2.1440e+00,4.7610e+00,2.4901e+01,-3.5672e+04
-3.0384e-01,-1.5025e+00,2.1623e+00,3.5788e+00,2.5062e+01,-2.9931e+04
-3.5877e-01,-1.3165e+00,1.6658e+00,3.5450e+00,2.3378e+01,-3.6249e+04
-4.9571e-01,-1.7263e+00,2.4350e+00,2.5858e+00,2.5664e+01,-2.4236e+04
-3.2291e-01,-1.5529e+00,1.6146e+00,4.6539e+00,2.3285e+01,-4.0408e+04
-1.2266e-01,-1.2907e+00,2.3809e+00,4.3446e+00,2.5407e+01,-4.4255e+04
-4.2382e-01,-1.3088e+00,2.2618e+00,3.7719e+00,2.5092e+01,-3.5955e+04
-2.3853e-01,-1.1409e+00,2.1271e+00,4.5802e+00,2.4870e+01,-3.5940e+04
-1.9553e-01,-1.9451e+00,2.1485e+00,4.2289e+00,2.5101e+01,-2.3929e+04
-7.1937e-02,-1.8099e+00,1.7360e+00,4.5415e+00,2.3575e+01,-3.4565e+04
-2.4298e-01,-1.3867e+00,1.6643e+00,4.9489e+00,2.3711e+01,-3.1627e+04
-4.2110e-01,-1.1735e+00,1.8437e+00,4.0336e+00,2.3844e+01,-4.2502e+04
-3.1511e-01,-1.7840e+00,1.5740e+00,3.8146e+00,2.3452e+01,-3.3188e+04
-3.5553e-01,-1.8365e+00,2.7298e+00,3.7243e+00,2.6726e+01,-2.5732e+04
-4.5364e-01,-1.9558e+00,2.5326e+00,4.5683e+00,2.6048e+01,-3.7488e+04
-4.0120e-01,-1.3992e+00,1.9357e+00,1.8377e+00,2.4187e+01,-4.3858e+04
-2.9142e-01,-1.4660e+00,2.0896e+00,3.2965e+00,2.4771e+01,-3.3027e+04
-3.6279e-01,-1.6434e+00,1.6218e+00,4.5348e+00,2.3697e+01,-4.0277e+04
-4.7278e-01,-1.7238e+00,1.7435e+00,5.4532e-01,2.3810e+01,-3.6321e+04
-2.2118e-01,-1.6890e+00,2.5095e+00,4.0120e+00,2.5776e+01,-4.0191e+04
-4.7868e-01,-1.3358e+00,1.5632e+00,8.4619e-01,2.3218e+01,-4.6766e+04
-1.4141e-01,-1.5621e+00,2.4155e+00,4.0380e+00,2.5477e+01,-4.0461e+04
-3.8311e-02,-1.3409e+00,2.1628e+00,4.5025e+00,2.4866e+01,-4.1904e+04
-4.1477e-01,-9.7886e-01,1.7911e+00,4.7939e+00,2.4054e+01,-4.5160e+04
-4.9315e-01,-1.9218e+00,2.0575e+00,2.3208e+00,2.4762e+01,-2.2339e+04
-4.4163e-02,-1.6329e+00,1.7408e+00,4.7312e+00,2.3617e+01,-3.3505e+04
-4.2517e-01,-1.5434e+00,2.2781e+00,2.4165e+00,2.5387e+01,-4.3618e+04
-2.8830e-01,-1.2997e+00,1.5156e+00,4.6784e+00,2.3243e+01,-3.3826e+04
-3.9747e-01,-1.8152e+00,1.8657e+00,4.8464e+00,2.4225e+01,-2.7732e+04
-1.9395e-01,-1.3548e+00,2.0144e+00,4.7524e+00,2.4440e+01,-2.8063e+04
-9.2022e-03,-1.7834e+00,1.6136e+00,4.3700e+00,2.3243e+01,-3.7603e+04
-1.4809e-01,-1.6891e+00,2.1388e+00,4.4568e+00,2.4904e+01,-1.8280e+04
-8.8828e-02,-1.8313e+00,1.8542e+00,3.1932e+00,2.3863e+01,-4.3219e+04
-4.7499e-01,-1.7787e+00,1.9273e+00,4.4202e+00,2.4592e+01,-2.9787e+04
-4.4411e-01,-1.5710e+00,1.5868e+00,1.6235e+00,2.3280e+01,-3.6148e+04
-1.6228e-01,-1.5521e+00,1.9822e+00,4.5184e+00,2.4620e+01,-3.3339e+04
-4.8983e-01,-1.4493e+00,2.0650e+00,3.9187e-01,2.4572e+01,-3.6335e+04
-3.5271e-01,-1.0795e+00,1.8381e+00,4.7362e+00,2.3936e+01,-3.2853e+04
-3.5611e-01,-1.0668e+00,1.6924e+00,4.9167e+00,2.3410e+01,-4.5533e+04
-4.7501e-01,-1.7014e+00,1.9284e+00,2.9327e+00,2.4251e+01,-2.3457e+04
-2.4266e-01,-1.8192e+00,3.0166e+00,4.8400e+00,2.7502e+01,-2.4981e+04
-3.2328e-01,-1.1982e+00,1.9985e+00,3.7033e+00,2.4306e+01,-4.0689e+04
-3.3854e-01,-1.9360e+00,2.9017e+00,4.3227e+00,2.7233e+01,-1.9212e+04
-1.4314e-01,-1.8191e+00,2.7134e+00,4.3751e+00,2.6382e+01,-4.1433e+04
-4.1139e-01,-1.3403e+00,2.1994e+00,4.1816e+00,2.5172e+01,-1.3960e+04
-2.4002e-01,-1.8179e+00,2.1468e+00,4.2446e+00,2.4895e+01,-1.8078e+04
