nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,6.1000e+01,1.0000e+00,5.7331e+00,-2.2524e+04,-2.2532e+04,-6.0970e-02,-2.2532e+04,8.7510e-02,7.6619e+00,2.0517e+04,6.1821e+02,-6.8577e-01,-7.5345e-01,6.6282e-01,1.1265e+00,1.6187e+00,2.2554e+00,2.8459e+00,2.9221e+00,2.9377e+01
2.0000e+03,6.2000e+01,1.0000e+00,5.8216e+00,-2.2440e+04,-2.2448e+04,-6.1969e-02,-2.2448e+04,8.7516e-02,7.6629e+00,2.0491e+04,6.2789e+02,-8.1015e-01,-3.0702e-01,8.2860e-01,1.1694e+00,1.4891e+00,2.1350e+00,2.8891e+00,2.9107e+00,2.9216e+01
2.0000e+03,6.3000e+01,1.0000e+00,5.9099e+00,-2.2396e+04,-2.2404e+04,-6.2969e-02,-2.2404e+04,8.7522e-02,7.6639e+00,2.0407e+04,6.3756e+02,-6.1431e-01,-7.6746e-01,5.1530e-01,1.0235e+00,1.4700e+00,2.2482e+00,2.9793e+00,2.9298e+00,2.9434e+01
2.0000e+03,6.4000e+01,1.0000e+00,5.9981e+00,-2.2296e+04,-2.2303e+04,-6.3968e-02,-2.2303e+04,8.7527e-02,7.6649e+00,2.0363e+04,6.4723e+02,-6.9099e-01,-6.5671e-01,7.8339e-01,1.0540e+00,1.3544e+00,2.2313e+00,2.8874e+00,2.7864e+00,2.9271e+01
2.0000e+03,6.5000e+01,1.0000e+00,6.0861e+00,-2.2278e+04,-2.2285e+04,-6.4968e-02,-2.2285e+04,8.7533e-02,7.6659e+00,2.0263e+04,6.5693e+02,-6.7111e-01,-6.3477e-01,5.6939e-01,1.1944e+00,1.5491e+00,1.9467e+00,2.9327e+00,2.9416e+00,2.9339e+01
2.0000e+03,6.6000e+01,1.0000e+00,6.1740e+00,-2.2272e+04,-2.2280e+04,-6.5967e-02,-2.2280e+04,8.7168e-02,7.6021e+00,2.0245e+04,6.6644e+02,-6.0422e-01,-4.2090e-01,5.6943e-01,1.2005e+00,1.4770e+00,2.0924e+00,2.9897e+00,2.9121e+00,2.9274e+01
2.0000e+03,6.7000e+01,1.0000e+00,6.2617e+00,-2.2203e+04,-2.2211e+04,-6.6967e-02,-2.2211e+04,8.7544e-02,7.6679e+00,2.0240e+04,6.7608e+02,-6.6524e-01,-7.8276e-01,6.6493e-01,1.1582e+00,1.7050e+00,2.0172e+00,2.9946e+00,2.6922e+00,2.9370e+01
2.0000e+03,6.8000e+01,1.0000e+00,6.3492e+00,-2.2202e+04,-2.2209e+04,-6.7966e-02,-2.2209e+04,8.2217e-02,6.7631e+00,2.0171e+04,6.8569e+02,-5.1591e-01,-5.5323e-01,4.8657e-01,1.1267e+00,1.4798e+00,2.1298e+00,2.9153e+00,2.9393e+00,2.9242e+01
2.0000e+03,6.9000e+01,1.0000e+00,6.4366e+00,-2.2182e+04,-2.2189e+04,-6.8966e-02,-2.2189e+04,8.7556e-02,7.6699e+00,2.0169e+04,6.9535e+02,-7.3859e-01,-7.5273e-01,7.5357e-01,1.1590e+00,1.5110e+00,2.1502e+00,2.8162e+00,2.8140e+00,2.9268e+01
2.0000e+03,7.0000e+01,1.0000e+00,6.5238e+00,-2.2145e+04,-2.2153e+04,-6.9965e-02,-2.2153e+04,8.7562e-02,7.6709e+00,2.0149e+04,7.0500e+02,-6.1605e-01,-7.0591e-01,5.2818e-01,1.1892e+00,1.4347e+00,1.9391e+00,2.9628e+00,2.8741e+00,2.9307e+01
2.0000e+03,7.1000e+01,1.0000e+00,6.6108e+00,-2.2094e+04,-2.2101e+04,-7.0965e-02,-2.2101e+04,8.7567e-02,7.6719e+00,2.0112e+04,7.1476e+02,-7.6570e-01,-7.8586e-01,6.8430e-01,1.1221e+00,1.5218e+00,2.2547e+00,2.8521e+00,2.9399e+00,2.9424e+01
2.0000e+03,7.2000e+01,2.0000e+00,6.6914e+00,-2.1953e+04,-2.1960e+04,-7.1964e-02,-2.1960e+04,8.7573e-02,7.6729e+00,2.0061e+04,7.3396e+02,-4.9756e-01,-6.7674e-01,8.3256e-01,8.8078e-01,1.4265e+00,2.2725e+00,2.8484e+00,2.8419e+00,2.9274e+01
2.0000e+03,7.3000e+01,1.0000e+00,6.7781e+00,-2.1951e+04,-2.1958e+04,-7.2964e-02,-2.1958e+04,8.3660e-02,7.0026e+00,1.9920e+04,7.4360e+02,-7.2114e-01,-5.4340e-01,6.0392e-01,1.1659e+00,1.5088e+00,1.9728e+00,2.8360e+00,2.9673e+00,2.9244e+01
2.0000e+03,7.4000e+01,1.0000e+00,6.8646e+00,-2.1924e+04,-2.1931e+04,-7.3963e-02,-2.1931e+04,8.7584e-02,7.6749e+00,1.9918e+04,7.5321e+02,-4.7491e-01,-6.5236e-01,8.4482e-01,1.1887e+00,1.4401e+00,2.2542e+00,2.7001e+00,2.9558e+00,2.9273e+01
2.0000e+03,7.5000e+01,1.0000e+00,6.9509e+00,-2.1900e+04,-2.1908e+04,-7.4963e-02,-2.1908e+04,8.7590e-02,7.6759e+00,1.9891e+04,7.6276e+02,-5.2438e-01,-4.1615e-01,8.1531e-01,9.0312e-01,1.5456e+00,2.2643e+00,2.9583e+00,2.7726e+00,2.9249e+01
2.0000e+03,7.6000e+01,1.0000e+00,7.0370e+00,-2.1891e+04,-2.1899e+04,-7.5962e-02,-2.1899e+04,8.7577e-02,7.6735e+00,1.9867e+04,7.7251e+02,-7.6953e-01,-6.9540e-01,8.3470e-01,1.0783e+00,1.7009e+00,2.1336e+00,2.9258e+00,2.7028e+00,2.9366e+01
2.0000e+03,7.7000e+01,1.0000e+00,7.1230e+00,-2.1866e+04,-2.1874e+04,-7.6962e-02,-2.1874e+04,8.7602e-02,7.6779e+00,1.9859e+04,7.8214e+02,-6.1749e-01,-3.6349e-01,8.6104e-01,1.1279e+00,1.5863e+00,2.0926e+00,2.9647e+00,2.8073e+00,2.9258e+01
