logfeh,logdust,logNpix,tau,logl
-2.3558e-01,-5.0420e-01,4.5040e+00,1.4557e-01,-1.5129e+01
-2.3066e-01,-5.0619e-01,4.5042e+00,4.0795e-01,-1.5321e+01
-2.3708e-01,-5.0356e-01,4.5041e+00,5.9644e-01,-1.4685e+01
-2.4852e-01,-5.0067e-01,4.5017e+00,3.7373e-01,-1.6140e+01
-2.4654e-01,-5.0088e-01,4.5022e+00,7.6839e-01,-1.5890e+01
-2.3043e-01,-5.0643e-01,4.5041e+00,4.3511e-01,-1.5885e+01
-2.5216e-01,-4.9959e-01,4.5014e+00,4.5198e-01,-1.5602e+01
-2.4467e-01,-5.0198e-01,4.5022e+00,6.2291e-01,-1.5825e+01
-2.3676e-01,-5.0407e-01,4.5036e+00,5.2098e-01,-1.4768e+01
-2.4104e-01,-5.0306e-01,4.5029e+00,3.7169e-01,-1.5605e+01
-2.4056e-01,-5.0247e-01,4.5034e+00,7.5494e-01,-1.4537e+01
-2.3154e-01,-5.0524e-01,4.5031e+00,1.1958e+00,-1.4683e+01
-2.4104e-01,-5.0290e-01,4.5030e+00,3.0016e-01,-1.4848e+01
-2.4341e-01,-5.0215e-01,4.5023e+00,7.8305e-01,-1.4633e+01
-2.4767e-01,-5.0094e-01,4.5014e+00,8.7608e-01,-1.6146e+01
-2.4618e-01,-5.0120e-01,4.5021e+00,7.7285e-01,-1.6030e+01
-2.4275e-01,-5.0249e-01,4.5026e+00,3.7271e-01,-1.5236e+01
-2.3999e-01,-5.0291e-01,4.5030e+00,7.8321e-01,-1.5393e+01
-2.3467e-01,-5.0483e-01,4.5039e+00,5.2058e-01,-1.6076e+01
-2.4279e-01,-5.0202e-01,4.5029e+00,7.7446e-01,-1.3252e+01
-2.4560e-01,-5.0160e-01,4.5016e+00,8.1481e-01,-1.5901e+01
-2.3227e-01,-5.0572e-01,4.5040e+00,5.5657e-01,-1.5919e+01
-2.5150e-01,-4.9932e-01,4.5012e+00,9.5386e-01,-1.5659e+01
-2.3252e-01,-5.0532e-01,4.5043e+00,1.8626e-01,-1.6104e+01
-2.3168e-01,-5.0574e-01,4.5043e+00,1.0263e-01,-1.5232e+01
-2.3331e-01,-5.0553e-01,4.5039e+00,1.5911e-01,-1.6258e+01
-2.4021e-01,-5.0299e-01,4.5031e+00,1.3126e-01,-1.5241e+01
-2.5132e-01,-4.9970e-01,4.5016e+00,5.6921e-01,-1.6249e+01
-2.3902e-01,-5.0302e-01,4.5030e+00,1.0151e+00,-1.6133e+01
-2.4845e-01,-5.0069e-01,4.5017e+00,3.6977e-01,-1.5614e+01
-2.4318e-01,-5.0239e-01,4.5023e+00,7.7481e-01,-1.6236e+01
-2.5572e-01,-4.9867e-01,4.5008e+00,8.5009e-01,-1.5449e+01
-2.4971e-01,-5.0030e-01,4.5016e+00,3.2593e-01,-1.5810e+01
-2.4509e-01,-5.0172e-01,4.5021e+00,7.7878e-01,-1.5135e+01
-2.2871e-01,-5.0678e-01,4.5047e+00,3.5715e-01,-1.5674e+01
-2.3656e-01,-5.0436e-01,4.5033e+00,7.9786e-01,-1.5436e+01
-2.3222e-01,-5.0600e-01,4.5038e+00,4.3115e-01,-1.5383e+01
-2.5867e-01,-4.9751e-01,4.5013e+00,1.5627e-01,-1.3541e+01
-2.5914e-01,-4.9767e-01,4.5009e+00,5.5129e-01,-1.5633e+01
-2.4239e-01,-5.0253e-01,4.5025e+00,4.0398e-01,-1.4561e+01
-2.3344e-01,-5.0557e-01,4.5037e+00,3.8432e-01,-1.6119e+01
-2.3661e-01,-5.0401e-01,4.5031e+00,9.9762e-01,-1.5550e+01
-2.4603e-01,-5.0137e-01,4.5021e+00,4.8707e-01,-1.5302e+01
-2.3517e-01,-5.0454e-01,4.5040e+00,5.2827e-01,-1.5840e+01
-2.4293e-01,-5.0271e-01,4.5015e+00,9.4660e-01,-1.5812e+01
-2.4240e-01,-5.0248e-01,4.5026e+00,4.8770e-01,-1.5661e+01
-2.5028e-01,-4.9956e-01,4.5017e+00,8.0227e-01,-1.4653e+01
-2.3285e-01,-5.0520e-01,4.5043e+00,3.5780e-01,-1.5520e+01
-2.4102e-01,-5.0280e-01,4.5028e+00,3.8393e-01,-1.4644e+01
-2.3193e-01,-5.0579e-01,4.5041e+00,3.8183e-01,-1.6096e+01
-2.4617e-01,-5.0125e-01,4.5021e+00,7.4720e-01,-1.5356e+01
-2.3155e-01,-5.0591e-01,4.5042e+00,3.9889e-01,-1.6150e+01
-2.3162e-01,-5.0613e-01,4.5040e+00,2.3820e-01,-1.3509e+01
-2.4237e-01,-5.0260e-01,4.5023e+00,7.5419e-01,-1.4801e+01
-2.4240e-01,-5.0259e-01,4.5026e+00,3.2208e-01,-1.4941e+01
-2.5557e-01,-4.9836e-01,4.5015e+00,7.2521e-01,-1.6260e+01
-2.4026e-01,-5.0311e-01,4.5030e+00,2.3575e-01,-1.6214e+01
-2.3847e-01,-5.0347e-01,4.5034e+00,7.8434e-01,-1.4422e+01
-2.4083e-01,-5.0304e-01,4.5027e+00,7.9149e-01,-1.3635e+01
-2.4721e-01,-5.0042e-01,4.5020e+00,9.7697e-01,-1.5183e+01
