GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 126 | batch: 0 | bound: 15 | nc: 7 | ncall: 1287 | eff(%):  9.567 | logz: -20057.792 +/-  0.519 | dlogz: 17971.820 > 10.000 
iter: 127 | batch: 0 | bound: 15 | nc: 2 | ncall: 1289 | eff(%):  9.629 | logz: -19569.578 +/-  0.520 | dlogz: 16765.739 > 10.000 
iter: 128 | batch: 0 | bound: 15 | nc: 1 | ncall: 1290 | eff(%):  9.697 | logz: -18963.823 +/-  0.521 | dlogz: 16277.492 > 10.000 
iter: 129 | batch: 0 | bound: 15 | nc: 3 | ncall: 1293 | eff(%):  9.751 | logz: -18703.434 +/-  0.522 | dlogz: 15671.704 > 10.000 
iter: 130 | batch: 0 | bound: 16 | nc: 19 | ncall: 1312 | eff(%):  9.687 | logz: -18050.008 +/-  0.523 | dlogz: 15411.283 > 10.000 
iter: 131 | batch: 0 | bound: 16 | nc: 2 | ncall: 1314 | eff(%):  9.747 | logz: -17893.446 +/-  0.525 | dlogz: 14757.824 > 10.000 
iter: 132 | batch: 0 | bound: 16 | nc: 18 | ncall: 1332 | eff(%):  9.692 | logz: -17870.975 +/-  0.526 | dlogz: 14601.229 > 10.000 
iter: 133 | batch: 0 | bound: 17 | nc: 3 | ncall: 1335 | eff(%):  9.744 | logz: -17592.104 +/-  0.527 | dlogz: 14578.725 > 10.000 
iter: 134 | batch: 0 | bound: 17 | nc: 5 | ncall: 1340 | eff(%):  9.781 | logz: -17578.251 +/-  0.528 | dlogz: 14299.822 > 10.000 
iter: 135 | batch: 0 | bound: 19 | nc: 38 | ncall: 1378 | eff(%):  9.588 | logz: -17048.200 +/-  0.529 | dlogz: 14285.936 > 10.000 
iter: 136 | batch: 0 | bound: 19 | nc: 3 | ncall: 1381 | eff(%):  9.639 | logz: -16971.828 +/-  0.530 | dlogz: 13755.851 > 10.000 
iter: 137 | batch: 0 | bound: 19 | nc: 10 | ncall: 1391 | eff(%):  9.641 | logz: -16743.151 +/-  0.531 | dlogz: 13679.447 > 10.000 
iter: 138 | batch: 0 | bound: 19 | nc: 1 | ncall: 1392 | eff(%):  9.705 | logz: -16328.856 +/-  0.532 | dlogz: 13450.738 > 10.000 
iter: 139 | batch: 0 | bound: 19 | nc: 16 | ncall: 1408 | eff(%):  9.666 | logz: -16253.175 +/-  0.533 | dlogz: 13367.401 > 10.000 
