nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,2.1310e+03,2.0216e+04,1.0443e+01,1.7035e+05,1.7034e+05,-1.0633e+01,1.7034e+05,2.8311e-01,1.6070e+01,1.2516e+03,-3.7831e-01,-1.0393e+00,6.0112e+00
2.0000e+03,2.1320e+03,2.0235e+04,1.0438e+01,1.7035e+05,1.7034e+05,-1.0638e+01,1.7034e+05,2.8021e-01,1.5743e+01,1.2491e+03,-4.9696e-01,-1.0433e+00,6.0003e+00
2.0000e+03,2.1330e+03,2.0243e+04,1.0439e+01,1.7036e+05,1.7034e+05,-1.0643e+01,1.7034e+05,2.8788e-01,1.6616e+01,1.2472e+03,-5.9675e-01,-9.3650e-01,6.0008e+00
2.0000e+03,2.1340e+03,2.0246e+04,1.0442e+01,1.7037e+05,1.7035e+05,-1.0648e+01,1.7035e+05,2.8796e-01,1.6625e+01,1.2406e+03,-4.9736e-01,-9.4748e-01,6.0023e+00
2.0000e+03,2.1350e+03,2.0248e+04,1.0446e+01,1.7037e+05,1.7035e+05,-1.0653e+01,1.7035e+05,2.7885e-01,1.5590e+01,1.2336e+03,-3.6737e-01,-9.9131e-01,6.0109e+00
2.0000e+03,2.1360e+03,2.0249e+04,1.0450e+01,1.7037e+05,1.7036e+05,-1.0658e+01,1.7036e+05,2.8797e-01,1.6626e+01,1.2322e+03,-4.6305e-01,-9.7462e-01,6.0060e+00
2.0000e+03,2.1370e+03,2.0256e+04,1.0452e+01,1.7038e+05,1.7036e+05,-1.0663e+01,1.7036e+05,2.8734e-01,1.6554e+01,1.2260e+03,-4.9804e-01,-9.4837e-01,6.0031e+00
2.0000e+03,2.1380e+03,2.0258e+04,1.0456e+01,1.7038e+05,1.7036e+05,-1.0668e+01,1.7036e+05,2.8070e-01,1.5798e+01,1.2212e+03,-3.4351e-01,-1.0452e+00,6.0114e+00
2.0000e+03,2.1390e+03,2.0265e+04,1.0457e+01,1.7038e+05,1.7037e+05,-1.0673e+01,1.7037e+05,2.7916e-01,1.5625e+01,1.2194e+03,-2.8175e-01,-1.0350e+00,6.0230e+00
2.0000e+03,2.1400e+03,2.0278e+04,1.0455e+01,1.7039e+05,1.7037e+05,-1.0678e+01,1.7037e+05,2.8744e-01,1.6566e+01,1.2178e+03,-5.0846e-01,-1.0356e+00,5.9958e+00
2.0000e+03,2.1410e+03,2.0282e+04,1.0458e+01,1.7039e+05,1.7037e+05,-1.0683e+01,1.7037e+05,2.8430e-01,1.6205e+01,1.2132e+03,-6.3231e-01,-9.7011e-01,5.9957e+00
2.0000e+03,2.1420e+03,2.0299e+04,1.0454e+01,1.7040e+05,1.7038e+05,-1.0688e+01,1.7038e+05,2.8822e-01,1.6656e+01,1.2104e+03,-6.2719e-01,-9.6948e-01,5.9969e+00
2.0000e+03,2.1430e+03,2.0333e+04,1.0442e+01,1.7040e+05,1.7038e+05,-1.0693e+01,1.7038e+05,2.7882e-01,1.5586e+01,1.2040e+03,-3.9513e-01,-1.0100e+00,6.0060e+00
2.0000e+03,2.1440e+03,2.0337e+04,1.0445e+01,1.7040e+05,1.7038e+05,-1.0698e+01,1.7038e+05,2.8268e-01,1.6021e+01,1.2028e+03,-5.8082e-01,-9.8160e-01,5.9997e+00
2.0000e+03,2.1450e+03,2.0350e+04,1.0443e+01,1.7040e+05,1.7038e+05,-1.0703e+01,1.7038e+05,2.7767e-01,1.5459e+01,1.2006e+03,-4.6394e-01,-9.7741e-01,6.0054e+00
2.0000e+03,2.1460e+03,2.0351e+04,1.0447e+01,1.7040e+05,1.7039e+05,-1.0708e+01,1.7039e+05,2.8216e-01,1.5962e+01,1.1994e+03,-4.1993e-01,-1.0898e+00,6.0030e+00
2.0000e+03,2.1470e+03,2.0361e+04,1.0447e+01,1.7040e+05,1.7039e+05,-1.0713e+01,1.7039e+05,2.7665e-01,1.5345e+01,1.1972e+03,-2.9306e-01,-1.0140e+00,6.0224e+00
2.0000e+03,2.1480e+03,2.0364e+04,1.0450e+01,1.7041e+05,1.7039e+05,-1.0718e+01,1.7039e+05,2.8632e-01,1.6437e+01,1.1962e+03,-3.8545e-01,-1.0746e+00,6.0080e+00
2.0000e+03,2.1490e+03,2.0365e+04,1.0455e+01,1.7041e+05,1.7039e+05,-1.0723e+01,1.7039e+05,2.8647e-01,1.6454e+01,1.1929e+03,-4.2488e-01,-9.7189e-01,6.0064e+00
2.0000e+03,2.1500e+03,2.0370e+04,1.0457e+01,1.7041e+05,1.7040e+05,-1.0728e+01,1.7040e+05,2.8524e-01,1.6313e+01,1.1893e+03,-4.6978e-01,-1.0720e+00,5.9991e+00
2.0000e+03,2.1510e+03,2.0375e+04,1.0459e+01,1.7043e+05,1.7042e+05,-1.0733e+01,1.7042e+05,2.8882e-01,1.6725e+01,1.1863e+03,-5.6976e-01,-9.9159e-01,5.9952e+00
2.0000e+03,2.1520e+03,2.0381e+04,1.0461e+01,1.7044e+05,1.7042e+05,-1.0738e+01,1.7042e+05,2.8814e-01,1.6647e+01,1.1681e+03,-4.5238e-01,-1.0655e+00,6.0023e+00
2.0000e+03,2.1530e+03,2.0382e+04,1.0465e+01,1.7045e+05,1.7044e+05,-1.0743e+01,1.7044e+05,2.8890e-01,1.6735e+01,1.1631e+03,-6.3111e-01,-9.2714e-01,5.9987e+00
2.0000e+03,2.1540e+03,2.0384e+04,1.0469e+01,1.7046e+05,1.7044e+05,-1.0748e+01,1.7044e+05,2.8609e-01,1.6410e+01,1.1489e+03,-4.2174e-01,-1.0152e+00,6.0033e+00
2.0000e+03,2.1550e+03,2.0386e+04,1.0473e+01,1.7046e+05,1.7044e+05,-1.0753e+01,1.7044e+05,2.8077e-01,1.5806e+01,1.1457e+03,-3.2035e-01,-1.0219e+00,6.0159e+00
