logfeh,logdust_med,logNpix,tau,dmod,logl
-6.3364e-01,-1.9479e+00,3.6137e+00,9.9087e+00,2.9585e+01,-1.6136e+03
-6.6099e-01,-1.9685e+00,3.6240e+00,9.9995e+00,2.9624e+01,-1.6077e+03
-6.9488e-01,-1.9741e+00,3.6301e+00,9.7181e+00,2.9646e+01,-1.6059e+03
-6.4132e-01,-1.9289e+00,3.6161e+00,9.8812e+00,2.9597e+01,-1.6032e+03
-6.9810e-01,-1.8217e+00,3.6336e+00,9.5969e+00,2.9648e+01,-1.5976e+03
-6.3058e-01,-1.9225e+00,3.6169e+00,9.9140e+00,2.9596e+01,-1.5665e+03
-6.5259e-01,-1.8286e+00,3.6161e+00,9.9555e+00,2.9595e+01,-1.6102e+03
-6.3223e-01,-1.9921e+00,3.6144e+00,9.9111e+00,2.9587e+01,-1.5872e+03
-6.9373e-01,-1.9761e+00,3.6334e+00,9.6085e+00,2.9654e+01,-1.6109e+03
-9.2287e-01,-1.0007e+00,3.7122e+00,9.9838e+00,2.9829e+01,-1.6048e+03
-6.7357e-01,-1.9464e+00,3.6779e+00,9.9935e+00,2.9778e+01,-1.6034e+03
-6.3408e-01,-1.9580e+00,3.6151e+00,9.9735e+00,2.9595e+01,-1.6005e+03
-8.1354e-01,-1.2657e+00,3.7010e+00,9.9628e+00,2.9827e+01,-1.6082e+03
-6.9760e-01,-1.7735e+00,3.6295e+00,9.6972e+00,2.9634e+01,-1.6000e+03
-6.9614e-01,-1.9851e+00,3.6286e+00,9.6716e+00,2.9637e+01,-1.6115e+03
-9.3640e-01,-1.0148e+00,3.6666e+00,9.6903e+00,2.9710e+01,-1.5872e+03
-6.5312e-01,-1.9305e+00,3.6149e+00,9.9565e+00,2.9597e+01,-1.6110e+03
-6.9533e-01,-1.7944e+00,3.6310e+00,9.6148e+00,2.9646e+01,-1.5815e+03
-6.3655e-01,-1.9799e+00,3.6145e+00,9.8737e+00,2.9589e+01,-1.6027e+03
-9.3547e-01,-1.0006e+00,3.6656e+00,9.7128e+00,2.9701e+01,-1.5982e+03
-6.9044e-01,-1.8473e+00,3.6319e+00,9.6632e+00,2.9648e+01,-1.6125e+03
-6.8480e-01,-1.8405e+00,3.6326e+00,9.7031e+00,2.9651e+01,-1.5943e+03
-6.9947e-01,-1.9665e+00,3.6359e+00,9.6796e+00,2.9660e+01,-1.5864e+03
-8.1340e-01,-1.3090e+00,3.6992e+00,9.8185e+00,2.9821e+01,-1.6077e+03
-6.9231e-01,-1.9492e+00,3.6306e+00,9.6096e+00,2.9646e+01,-1.5987e+03
-6.9122e-01,-1.8599e+00,3.6744e+00,9.9851e+00,2.9765e+01,-1.6117e+03
-9.2494e-01,-1.0085e+00,3.6947e+00,9.9497e+00,2.9780e+01,-1.6144e+03
-6.9866e-01,-1.7612e+00,3.6299e+00,9.8706e+00,2.9644e+01,-1.6075e+03
-9.4151e-01,-1.0075e+00,3.6669e+00,9.6466e+00,2.9706e+01,-1.6145e+03
-6.9270e-01,-1.9445e+00,3.6302e+00,9.6117e+00,2.9646e+01,-1.6062e+03
-6.2522e-01,-1.9682e+00,3.6155e+00,9.9729e+00,2.9586e+01,-1.5983e+03
-6.9833e-01,-1.9028e+00,3.6340e+00,9.6008e+00,2.9653e+01,-1.6097e+03
-6.9753e-01,-1.7903e+00,3.6302e+00,9.7214e+00,2.9647e+01,-1.6137e+03
-9.3142e-01,-1.0039e+00,3.7129e+00,9.9516e+00,2.9830e+01,-1.6108e+03
-6.9929e-01,-1.8332e+00,3.6283e+00,9.7264e+00,2.9642e+01,-1.6078e+03
-8.2144e-01,-1.2781e+00,3.6990e+00,9.9356e+00,2.9823e+01,-1.6013e+03
-6.8989e-01,-1.8044e+00,3.6307e+00,9.6782e+00,2.9647e+01,-1.6133e+03
-9.0337e-01,-1.0314e+00,3.6619e+00,9.9476e+00,2.9699e+01,-1.6076e+03
-6.7668e-01,-1.8765e+00,3.6794e+00,9.9913e+00,2.9773e+01,-1.6114e+03
-6.2250e-01,-1.9515e+00,3.6164e+00,9.9332e+00,2.9589e+01,-1.5802e+03
-6.9996e-01,-1.8116e+00,3.6310e+00,9.6549e+00,2.9655e+01,-1.6015e+03
-6.9965e-01,-1.9468e+00,3.6318e+00,9.5950e+00,2.9650e+01,-1.5972e+03
-6.3959e-01,-1.9019e+00,3.6598e+00,9.9844e+00,2.9713e+01,-1.5931e+03
-6.9113e-01,-1.8136e+00,3.6316e+00,9.6650e+00,2.9645e+01,-1.6006e+03
-6.6321e-01,-1.9281e+00,3.6247e+00,9.9237e+00,2.9626e+01,-1.6146e+03
-6.9759e-01,-1.8280e+00,3.6293e+00,9.6274e+00,2.9642e+01,-1.5990e+03
-6.2495e-01,-1.9559e+00,3.6167e+00,9.8892e+00,2.9602e+01,-1.6110e+03
-6.2970e-01,-1.8806e+00,3.6165e+00,9.9372e+00,2.9597e+01,-1.5854e+03
-6.6391e-01,-1.9570e+00,3.6242e+00,9.9607e+00,2.9626e+01,-1.6105e+03
-6.9657e-01,-1.8876e+00,3.6314e+00,9.6098e+00,2.9649e+01,-1.5978e+03
-9.3336e-01,-1.0249e+00,3.7109e+00,9.9896e+00,2.9834e+01,-1.6080e+03
-6.6098e-01,-1.9853e+00,3.6161e+00,9.9197e+00,2.9605e+01,-1.6027e+03
-6.9498e-01,-1.8794e+00,3.6303e+00,9.6954e+00,2.9647e+01,-1.6063e+03
-9.2562e-01,-1.0020e+00,3.6597e+00,9.9678e+00,2.9689e+01,-1.5913e+03
-9.2701e-01,-1.0020e+00,3.6625e+00,9.9737e+00,2.9695e+01,-1.5720e+03
-6.5777e-01,-1.9449e+00,3.6160e+00,9.8799e+00,2.9598e+01,-1.6063e+03
-6.5909e-01,-1.9807e+00,3.6154e+00,9.9181e+00,2.9598e+01,-1.5976e+03
-6.9719e-01,-1.9728e+00,3.6326e+00,9.7144e+00,2.9654e+01,-1.6071e+03
-6.9362e-01,-1.9571e+00,3.7207e+00,9.9624e+00,2.9892e+01,-1.6076e+03
-6.2364e-01,-1.9963e+00,3.6173e+00,9.9407e+00,2.9603e+01,-1.6039e+03
-6.9058e-01,-1.8058e+00,3.6308e+00,9.6221e+00,2.9639e+01,-1.5998e+03
-6.9527e-01,-1.8259e+00,3.6335e+00,9.7572e+00,2.9650e+01,-1.5990e+03
-6.9897e-01,-1.7543e+00,3.6306e+00,9.6051e+00,2.9640e+01,-1.5806e+03
-6.8741e-01,-1.9757e+00,3.7050e+00,9.7246e+00,2.9844e+01,-1.6125e+03
-9.2138e-01,-1.0320e+00,3.6633e+00,9.7855e+00,2.9704e+01,-1.6145e+03
-9.4245e-01,-1.0024e+00,3.6646e+00,9.8212e+00,2.9704e+01,-1.6030e+03
-6.9817e-01,-1.9789e+00,3.6304e+00,9.6265e+00,2.9646e+01,-1.5675e+03
-8.2052e-01,-1.2700e+00,3.7000e+00,9.8995e+00,2.9826e+01,-1.6075e+03
-6.9661e-01,-1.8881e+00,3.6339e+00,9.5233e+00,2.9651e+01,-1.6076e+03
-6.8188e-01,-1.9741e+00,3.6311e+00,9.6372e+00,2.9640e+01,-1.6032e+03
-6.9663e-01,-1.8432e+00,3.6280e+00,9.6854e+00,2.9638e+01,-1.6146e+03
-6.7594e-01,-1.9089e+00,3.6790e+00,9.9888e+00,2.9775e+01,-1.6139e+03
-6.9536e-01,-1.8758e+00,3.6305e+00,9.7165e+00,2.9652e+01,-1.6106e+03
-9.2967e-01,-1.0022e+00,3.7103e+00,9.9505e+00,2.9827e+01,-1.5969e+03
-9.3146e-01,-1.0317e+00,3.7132e+00,9.8904e+00,2.9837e+01,-1.6139e+03
-9.0720e-01,-1.0228e+00,3.6658e+00,9.9869e+00,2.9712e+01,-1.6146e+03
-9.2870e-01,-1.0361e+00,3.7123e+00,9.9208e+00,2.9838e+01,-1.6065e+03
-6.9129e-01,-1.8796e+00,3.6312e+00,9.6306e+00,2.9643e+01,-1.6091e+03
-6.9812e-01,-1.9723e+00,3.6302e+00,9.6194e+00,2.9642e+01,-1.6044e+03
-6.9607e-01,-1.7342e+00,3.6340e+00,9.7458e+00,2.9651e+01,-1.5777e+03
-9.2260e-01,-1.0106e+00,3.7126e+00,9.9943e+00,2.9833e+01,-1.6048e+03
-6.9723e-01,-1.9456e+00,3.6298e+00,9.6224e+00,2.9642e+01,-1.6016e+03
-8.3686e-01,-1.2104e+00,3.7030e+00,9.9673e+00,2.9830e+01,-1.6091e+03
-9.4749e-01,-1.0004e+00,3.6665e+00,9.6140e+00,2.9696e+01,-1.6103e+03
-8.1590e-01,-1.2753e+00,3.7008e+00,9.9815e+00,2.9831e+01,-1.6143e+03
-6.4262e-01,-1.9418e+00,3.6609e+00,9.8732e+00,2.9708e+01,-1.5928e+03
-6.2804e-01,-1.9950e+00,3.6163e+00,9.9878e+00,2.9600e+01,-1.6034e+03
-6.2459e-01,-1.9761e+00,3.6152e+00,9.9567e+00,2.9597e+01,-1.5924e+03
-9.1731e-01,-1.0063e+00,3.6608e+00,9.9963e+00,2.9690e+01,-1.5952e+03
-6.2165e-01,-1.9662e+00,3.6153e+00,9.9444e+00,2.9584e+01,-1.5960e+03
-6.3210e-01,-1.9907e+00,3.6125e+00,9.9728e+00,2.9588e+01,-1.6121e+03
-9.2329e-01,-1.0190e+00,3.6598e+00,9.9338e+00,2.9692e+01,-1.6103e+03
-6.5517e-01,-1.9643e+00,3.6153e+00,9.8887e+00,2.9592e+01,-1.6084e+03
-6.8663e-01,-1.9598e+00,3.7048e+00,9.7550e+00,2.9839e+01,-1.6067e+03
-6.9538e-01,-1.6791e+00,3.6317e+00,9.5473e+00,2.9633e+01,-1.6101e+03
-6.3778e-01,-1.8471e+00,3.6130e+00,9.9581e+00,2.9584e+01,-1.5857e+03
-6.9582e-01,-1.9463e+00,3.6293e+00,9.7438e+00,2.9645e+01,-1.6087e+03
-6.9995e-01,-1.7620e+00,3.6314e+00,9.7244e+00,2.9642e+01,-1.6122e+03
-6.9837e-01,-1.8637e+00,3.6295e+00,9.8271e+00,2.9652e+01,-1.6136e+03
-6.6062e-01,-1.8286e+00,3.6572e+00,9.9781e+00,2.9707e+01,-1.6068e+03
-6.2085e-01,-1.9328e+00,3.6171e+00,9.9215e+00,2.9588e+01,-1.6006e+03
-6.9749e-01,-1.8585e+00,3.6308e+00,9.7199e+00,2.9650e+01,-1.6117e+03
-6.9611e-01,-1.9292e+00,3.6312e+00,9.6714e+00,2.9647e+01,-1.5874e+03
-8.1407e-01,-1.1983e+00,3.7011e+00,9.9510e+00,2.9818e+01,-1.6046e+03
-6.9753e-01,-1.7629e+00,3.6312e+00,9.7579e+00,2.9645e+01,-1.6116e+03
-9.2153e-01,-1.0232e+00,3.6621e+00,9.9385e+00,2.9700e+01,-1.5876e+03
-9.2052e-01,-1.0081e+00,3.6958e+00,9.8796e+00,2.9784e+01,-1.6001e+03
-6.5401e-01,-1.9437e+00,3.6164e+00,9.9333e+00,2.9609e+01,-1.6085e+03
-6.8430e-01,-1.9865e+00,3.7054e+00,9.7196e+00,2.9840e+01,-1.6137e+03
-8.2876e-01,-1.1739e+00,3.6993e+00,9.9851e+00,2.9807e+01,-1.6104e+03
-6.9834e-01,-1.8706e+00,3.6327e+00,9.7934e+00,2.9660e+01,-1.6090e+03
-6.2172e-01,-1.8865e+00,3.6155e+00,9.9204e+00,2.9591e+01,-1.6126e+03
-6.7609e-01,-1.9859e+00,3.6324e+00,9.7523e+00,2.9650e+01,-1.6133e+03
-6.5921e-01,-1.7131e+00,3.6155e+00,9.8807e+00,2.9596e+01,-1.6043e+03
-9.3138e-01,-1.0235e+00,3.6653e+00,9.7384e+00,2.9705e+01,-1.5945e+03
-6.6652e-01,-1.8393e+00,3.6225e+00,9.9987e+00,2.9623e+01,-1.6098e+03
-6.3573e-01,-1.9056e+00,3.6142e+00,9.8844e+00,2.9588e+01,-1.5995e+03
