logfeh,logdust_med,logNpix,tau,dmod,logl
-9.8330e-01,-1.9709e+00,3.6755e+00,9.9808e+00,2.9382e+01,-2.2502e+03
-9.7600e-01,-1.9055e+00,3.6758e+00,9.9765e+00,2.9387e+01,-2.2433e+03
-9.8576e-01,-1.9615e+00,3.6049e+00,9.9720e+00,2.9200e+01,-2.2583e+03
-9.7020e-01,-1.9885e+00,3.6456e+00,9.9365e+00,2.9309e+01,-2.2229e+03
-9.9452e-01,-1.8899e+00,3.5185e+00,9.9965e+00,2.8970e+01,-2.2499e+03
-9.6107e-01,-1.9883e+00,3.6461e+00,9.9776e+00,2.9309e+01,-2.2408e+03
-9.9810e-01,-1.9849e+00,3.6435e+00,9.9440e+00,2.9300e+01,-2.2451e+03
-9.7122e-01,-1.9265e+00,3.7807e+00,9.9988e+00,2.9664e+01,-2.2478e+03
-9.7037e-01,-1.9833e+00,3.6454e+00,9.8724e+00,2.9308e+01,-2.2592e+03
-9.9684e-01,-1.9964e+00,3.6377e+00,9.9615e+00,2.9282e+01,-2.2617e+03
-9.6369e-01,-1.9376e+00,3.6754e+00,9.9630e+00,2.9380e+01,-2.2511e+03
-9.6549e-01,-1.9910e+00,3.6753e+00,9.9557e+00,2.9385e+01,-2.2483e+03
-9.6583e-01,-1.8972e+00,3.6755e+00,9.9295e+00,2.9387e+01,-2.2417e+03
-9.5895e-01,-1.9086e+00,3.6770e+00,9.9490e+00,2.9394e+01,-2.2477e+03
