logfeh,logdust_med,logNpix,tau,dmod,logl
2.4005e-01,-1.9157e+00,3.7260e+00,9.9987e+00,2.8165e+01,-6.2930e+03
2.2733e-01,-1.8852e+00,3.7258e+00,9.9824e+00,2.8160e+01,-6.3159e+03
2.2462e-01,-1.9951e+00,3.7265e+00,9.9819e+00,2.8168e+01,-6.3029e+03
2.3005e-01,-1.9206e+00,3.7272e+00,9.9654e+00,2.8165e+01,-6.3101e+03
2.0118e-01,-1.9490e+00,3.7288e+00,9.9759e+00,2.8165e+01,-6.3022e+03
2.0282e-01,-1.9894e+00,3.7248e+00,9.9913e+00,2.8161e+01,-6.3137e+03
2.3566e-01,-1.9449e+00,3.7260e+00,9.9934e+00,2.8156e+01,-6.2978e+03
2.2977e-01,-1.9909e+00,3.7287e+00,9.9679e+00,2.8166e+01,-6.3162e+03
2.4744e-01,-1.8857e+00,3.7261e+00,9.9994e+00,2.8163e+01,-6.2992e+03
2.0523e-01,-1.9858e+00,3.7264e+00,9.9845e+00,2.8170e+01,-6.3134e+03
2.0337e-01,-1.9461e+00,3.7261e+00,9.9948e+00,2.8163e+01,-6.2918e+03
2.3632e-01,-1.9725e+00,3.7260e+00,9.9787e+00,2.8162e+01,-6.3115e+03
2.2493e-01,-1.9912e+00,3.7259e+00,9.9690e+00,2.8164e+01,-6.3139e+03
2.2726e-01,-1.9226e+00,3.7262e+00,9.9974e+00,2.8167e+01,-6.3093e+03
2.4984e-01,-1.9913e+00,3.7274e+00,9.9684e+00,2.8164e+01,-6.3069e+03
2.0682e-01,-1.9921e+00,3.7283e+00,9.9897e+00,2.8167e+01,-6.2942e+03
2.0761e-01,-1.9156e+00,3.7260e+00,9.9869e+00,2.8162e+01,-6.3096e+03
2.2126e-01,-1.9587e+00,3.7274e+00,9.9612e+00,2.8165e+01,-6.3117e+03
2.1195e-01,-1.8795e+00,3.7286e+00,9.9929e+00,2.8168e+01,-6.3128e+03
2.3745e-01,-1.9176e+00,3.7258e+00,9.9966e+00,2.8157e+01,-6.3097e+03
2.2509e-01,-1.9499e+00,3.7273e+00,9.9643e+00,2.8163e+01,-6.3143e+03
2.2853e-01,-1.9702e+00,3.7260e+00,9.9989e+00,2.8164e+01,-6.3029e+03
2.2002e-01,-1.9696e+00,3.7258e+00,9.9731e+00,2.8166e+01,-6.3119e+03
2.1148e-01,-1.8852e+00,3.7272e+00,9.9744e+00,2.8167e+01,-6.3082e+03
2.1423e-01,-1.9927e+00,3.7272e+00,9.9618e+00,2.8159e+01,-6.3131e+03
2.1262e-01,-1.9800e+00,3.7260e+00,9.9894e+00,2.8164e+01,-6.2873e+03
2.2845e-01,-1.9495e+00,3.7285e+00,1.0000e+01,2.8169e+01,-6.3146e+03
2.0094e-01,-1.9849e+00,3.7259e+00,9.9953e+00,2.8162e+01,-6.2772e+03
2.4306e-01,-1.9800e+00,3.7263e+00,9.9851e+00,2.8163e+01,-6.3085e+03
2.4042e-01,-1.9979e+00,3.7273e+00,9.9543e+00,2.8166e+01,-6.3154e+03
2.2533e-01,-1.9912e+00,3.7284e+00,9.9976e+00,2.8174e+01,-6.3049e+03
2.2909e-01,-1.9868e+00,3.7262e+00,9.9972e+00,2.8162e+01,-6.3002e+03
2.2793e-01,-1.8890e+00,3.7260e+00,9.9918e+00,2.8162e+01,-6.2902e+03
2.3328e-01,-1.9932e+00,3.7263e+00,9.9809e+00,2.8165e+01,-6.3120e+03
2.0405e-01,-1.9461e+00,3.7263e+00,9.9907e+00,2.8162e+01,-6.2986e+03
2.0317e-01,-1.9727e+00,3.7257e+00,9.9772e+00,2.8161e+01,-6.3131e+03
2.2412e-01,-1.9081e+00,3.7258e+00,9.9832e+00,2.8164e+01,-6.3149e+03
