logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.2068e-02,-8.5521e-01,2.0947e+00,1.3495e+00,3.5952e+00,1.5750e+00,3.1339e+00,3.0742e+01,-1.9912e+03
9.7950e-02,-9.9679e-01,2.0617e+00,2.3227e+00,1.1024e+00,3.1222e+00,4.0630e+00,3.0479e+01,-1.3216e+03
-8.7016e-01,-1.8490e+00,6.5606e-01,2.0096e+00,9.8472e-01,1.4971e+00,3.6447e+00,2.9402e+01,-1.6612e+03
4.9550e-01,-7.5153e-01,2.3673e+00,2.0523e+00,2.3356e+00,4.1012e+00,3.8760e+00,3.1115e+01,-1.8656e+03
-5.8532e-01,-1.2431e+00,1.7655e+00,2.0954e+00,1.5615e+00,2.2008e+00,4.0334e+00,3.0352e+01,-9.8010e+02
3.9101e-02,-1.0426e+00,2.2237e+00,2.6394e+00,2.2961e+00,2.2587e+00,4.3462e+00,3.1091e+01,-1.2431e+03
-4.4496e-01,-9.3891e-01,1.9231e+00,1.6409e+00,3.7106e+00,2.1118e+00,3.1442e+00,3.1027e+01,-1.7605e+03
-5.8307e-01,-1.0429e+00,1.8932e+00,1.4870e+00,2.6393e+00,2.9334e+00,4.0351e+00,3.0494e+01,-1.6623e+03
3.2629e-01,-1.7581e+00,2.0867e+00,1.4595e+00,3.5809e+00,3.4889e+00,3.4543e+00,3.0961e+01,-1.3568e+03
4.1609e-01,-1.7506e+00,2.2507e+00,3.3963e-01,3.8188e+00,3.1727e+00,3.4768e+00,3.1295e+01,-1.6146e+03
2.7091e-01,-1.0462e+00,2.5027e+00,1.3293e+00,8.7548e-01,4.3839e+00,3.5131e+00,3.1602e+01,-1.4902e+03
1.4129e-01,-1.8210e+00,1.2595e+00,2.3133e+00,2.3798e+00,2.8717e+00,3.7086e+00,2.9783e+01,-1.4677e+03
-7.9768e-01,-8.0884e-01,1.4476e+00,1.9453e+00,1.7850e+00,3.4141e+00,3.5946e+00,2.9962e+01,-1.9898e+03
-6.6247e-02,-8.7443e-01,2.2424e+00,8.7428e-01,3.2719e+00,4.0261e+00,3.0243e+00,3.1121e+01,-1.0864e+03
-2.5754e-01,-1.4290e+00,2.1493e+00,1.4642e+00,1.1268e+00,2.1822e+00,4.1844e+00,3.0693e+01,-1.9313e+03
-1.8030e-01,-1.9508e+00,1.2441e+00,1.8986e+00,2.1978e+00,2.3611e+00,3.5309e+00,2.9281e+01,-1.3996e+03
-5.9523e-01,-1.1628e+00,1.7271e+00,1.8649e+00,2.1099e+00,3.7375e+00,2.8558e+00,3.0259e+01,-1.8501e+03
2.3164e-01,-7.4826e-01,1.4989e+00,2.5602e+00,2.3937e+00,3.1354e+00,3.5950e+00,2.9825e+01,-1.1288e+03
