logfeh_mean,logdust,logNpix,logage,dmod,logl
1.3318e-01,-1.6901e+00,4.4069e+00,1.0045e+01,3.0358e+01,-3.4068e+01
1.8192e-01,-1.8885e+00,4.4218e+00,1.0044e+01,3.0383e+01,-4.3574e+01
1.4606e-01,-1.7388e+00,4.3901e+00,1.0026e+01,3.0314e+01,-3.9309e+01
3.2715e-01,-1.6912e+00,4.2822e+00,9.9388e+00,3.0141e+01,-4.3770e+01
2.5718e-01,-1.5160e+00,4.3101e+00,9.9419e+00,3.0228e+01,-4.1653e+01
1.5378e-01,-1.5017e+00,4.3729e+00,1.0010e+01,3.0334e+01,-3.7488e+01
1.5620e-01,-1.7647e+00,4.3964e+00,1.0054e+01,3.0324e+01,-3.9487e+01
1.1423e-01,-1.6047e+00,4.4148e+00,1.0028e+01,3.0381e+01,-3.9689e+01
2.9120e-01,-1.5766e+00,4.3146e+00,9.9627e+00,3.0232e+01,-4.0884e+01
2.6780e-01,-1.5424e+00,4.3049e+00,9.9306e+00,3.0213e+01,-4.3685e+01
2.8649e-01,-1.5772e+00,4.3154e+00,9.9336e+00,3.0236e+01,-3.7512e+01
3.0181e-01,-1.5860e+00,4.3096e+00,9.9273e+00,3.0215e+01,-4.0750e+01
2.4289e-01,-1.3202e+00,4.3169e+00,9.8822e+00,3.0303e+01,-4.2174e+01
6.5773e-02,-1.4965e+00,4.4379e+00,1.0048e+01,3.0454e+01,-4.2686e+01
1.9143e-01,-1.2691e+00,4.3318e+00,9.9052e+00,3.0356e+01,-4.2686e+01
1.3525e-01,-1.4710e+00,4.3915e+00,1.0005e+01,3.0387e+01,-3.4804e+01
2.1505e-01,-1.6778e+00,4.3494e+00,9.9825e+00,3.0267e+01,-4.2537e+01
2.2744e-01,-1.6925e+00,4.3504e+00,9.9797e+00,3.0261e+01,-4.1197e+01
2.5103e-01,-1.7966e+00,4.3543e+00,9.9848e+00,3.0267e+01,-3.7390e+01
3.0683e-01,-1.4035e+00,4.2953e+00,9.9125e+00,3.0235e+01,-4.2713e+01
2.2959e-01,-1.7438e+00,4.3582e+00,1.0013e+01,3.0283e+01,-4.1050e+01
1.5446e-01,-1.7959e+00,4.3948e+00,1.0034e+01,3.0324e+01,-4.1681e+01
2.5270e-01,-1.7856e+00,4.3447e+00,1.0003e+01,3.0243e+01,-4.1488e+01
1.9620e-01,-1.6186e+00,4.3471e+00,1.0011e+01,3.0263e+01,-4.1279e+01
