logfeh,logdust,logNpix,tau,logl
-4.9076e-01,-8.2220e-01,5.2804e+00,2.4108e+00,-2.0779e+02
-4.0645e-01,-8.7037e-01,5.2747e+00,2.6584e+00,-2.1087e+02
-4.4614e-01,-8.4802e-01,5.2770e+00,2.5687e+00,-2.1288e+02
-4.2089e-01,-8.6626e-01,5.2760e+00,2.5877e+00,-2.1197e+02
-3.8428e-01,-8.8619e-01,5.2749e+00,2.6594e+00,-2.1240e+02
-4.5297e-01,-8.1307e-01,5.2788e+00,2.5421e+00,-2.1201e+02
-4.0830e-01,-8.6139e-01,5.2719e+00,2.7612e+00,-2.1240e+02
-4.4486e-01,-8.4517e-01,5.2755e+00,2.6398e+00,-2.1108e+02
-4.3987e-01,-8.5184e-01,5.2760e+00,2.5924e+00,-2.1143e+02
-4.0304e-01,-8.6425e-01,5.2726e+00,2.7530e+00,-2.1117e+02
-4.4527e-01,-8.4861e-01,5.2770e+00,2.5707e+00,-2.1308e+02
-4.2814e-01,-8.5654e-01,5.2744e+00,2.6587e+00,-2.1122e+02
-3.7023e-01,-8.9166e-01,5.2743e+00,2.7032e+00,-2.1308e+02
-4.3247e-01,-8.5224e-01,5.2743e+00,2.6610e+00,-2.1090e+02
-4.8351e-01,-8.1320e-01,5.2794e+00,2.5396e+00,-2.0847e+02
-4.3920e-01,-8.5102e-01,5.2752e+00,2.6228e+00,-2.1295e+02
-4.0370e-01,-8.7623e-01,5.2750e+00,2.6185e+00,-2.0508e+02
-4.3081e-01,-8.6312e-01,5.2762e+00,2.5572e+00,-2.1253e+02
-4.4218e-01,-8.4809e-01,5.2759e+00,2.6158e+00,-2.0966e+02
-4.1728e-01,-8.6501e-01,5.2753e+00,2.6337e+00,-2.1204e+02
-4.3148e-01,-8.5801e-01,5.2749e+00,2.6074e+00,-2.1131e+02
-4.1788e-01,-8.6611e-01,5.2757e+00,2.6112e+00,-2.0886e+02
-4.3167e-01,-8.5556e-01,5.2761e+00,2.6105e+00,-2.0940e+02
-3.8508e-01,-8.8698e-01,5.2740e+00,2.6664e+00,-2.1224e+02
-4.4085e-01,-8.5477e-01,5.2762e+00,2.5667e+00,-2.1076e+02
-4.4468e-01,-8.3750e-01,5.2740e+00,2.7141e+00,-2.1260e+02
-4.3691e-01,-8.5177e-01,5.2753e+00,2.6271e+00,-2.1100e+02
-4.7145e-01,-8.2138e-01,5.2807e+00,2.4201e+00,-2.1194e+02
-4.2983e-01,-8.6091e-01,5.2765e+00,2.5693e+00,-2.1051e+02
-4.4568e-01,-8.3758e-01,5.2744e+00,2.7003e+00,-2.1270e+02
-4.5393e-01,-8.2625e-01,5.2816e+00,2.3505e+00,-2.0662e+02
-4.4482e-01,-8.4946e-01,5.2758e+00,2.5885e+00,-2.1183e+02
-4.2803e-01,-8.5870e-01,5.2758e+00,2.6114e+00,-2.1022e+02
-3.7068e-01,-8.9403e-01,5.2744e+00,2.6766e+00,-2.1256e+02
-4.3391e-01,-8.6028e-01,5.2775e+00,2.5244e+00,-2.1307e+02
-4.4185e-01,-8.4879e-01,5.2759e+00,2.6139e+00,-2.0693e+02
-4.3245e-01,-8.5583e-01,5.2755e+00,2.6134e+00,-2.0982e+02
-3.9087e-01,-8.7358e-01,5.2727e+00,2.7544e+00,-2.1097e+02
-4.4553e-01,-8.3835e-01,5.2740e+00,2.7192e+00,-2.0837e+02
-4.4096e-01,-8.4034e-01,5.2745e+00,2.7036e+00,-2.1125e+02
-4.3790e-01,-8.5117e-01,5.2755e+00,2.6169e+00,-2.0837e+02
-4.9657e-01,-8.1786e-01,5.2798e+00,2.4837e+00,-2.1113e+02
-4.3525e-01,-8.4905e-01,5.2744e+00,2.6688e+00,-2.1155e+02
-4.6847e-01,-8.0700e-01,5.2775e+00,2.6277e+00,-2.1060e+02
-4.0850e-01,-8.7627e-01,5.2768e+00,2.5581e+00,-2.1250e+02
-4.9641e-01,-8.0790e-01,5.2778e+00,2.6024e+00,-2.1151e+02
-4.5107e-01,-8.2754e-01,5.2820e+00,2.3287e+00,-2.1303e+02
-4.2833e-01,-8.5993e-01,5.2744e+00,2.6207e+00,-2.0845e+02
-4.0779e-01,-8.6455e-01,5.2737e+00,2.7008e+00,-2.1289e+02
-4.6664e-01,-8.1205e-01,5.2785e+00,2.5637e+00,-2.1042e+02
-4.4218e-01,-8.4734e-01,5.2762e+00,2.6166e+00,-2.1111e+02
-4.1851e-01,-8.6258e-01,5.2749e+00,2.6511e+00,-2.1236e+02
-3.9552e-01,-8.8446e-01,5.2747e+00,2.6164e+00,-2.1099e+02
-4.8092e-01,-8.2638e-01,5.2818e+00,2.3523e+00,-2.0869e+02
-4.6861e-01,-8.2430e-01,5.2806e+00,2.3949e+00,-2.1192e+02
-4.7358e-01,-8.0563e-01,5.2774e+00,2.6323e+00,-2.0880e+02
-4.3736e-01,-8.5498e-01,5.2760e+00,2.5946e+00,-2.1300e+02
-4.7531e-01,-8.0395e-01,5.2776e+00,2.6475e+00,-2.1265e+02
-3.9973e-01,-8.7499e-01,5.2747e+00,2.6529e+00,-2.1261e+02
-4.8690e-01,-8.1070e-01,5.2785e+00,2.5719e+00,-2.1256e+02
-3.9127e-01,-8.7835e-01,5.2736e+00,2.6993e+00,-2.1306e+02
-4.6119e-01,-8.0978e-01,5.2793e+00,2.5666e+00,-2.1250e+02
-4.7097e-01,-8.1535e-01,5.2801e+00,2.4887e+00,-2.1223e+02
-3.9992e-01,-8.8182e-01,5.2769e+00,2.5621e+00,-2.1181e+02
-4.0120e-01,-8.7824e-01,5.2755e+00,2.6164e+00,-2.1030e+02
-3.9991e-01,-8.8177e-01,5.2749e+00,2.6103e+00,-2.1120e+02
-4.3350e-01,-8.5283e-01,5.2744e+00,2.6486e+00,-2.0848e+02
-4.3602e-01,-8.5134e-01,5.2761e+00,2.6181e+00,-2.0713e+02
-3.8488e-01,-8.9469e-01,5.2762e+00,2.5737e+00,-2.0718e+02
-3.9171e-01,-8.8740e-01,5.2763e+00,2.5821e+00,-2.1274e+02
-4.8273e-01,-8.1938e-01,5.2802e+00,2.4530e+00,-2.1207e+02
-4.3388e-01,-8.4928e-01,5.2755e+00,2.6551e+00,-2.0992e+02
-4.0400e-01,-8.6795e-01,5.2728e+00,2.7183e+00,-2.1201e+02
-4.2639e-01,-8.5681e-01,5.2751e+00,2.6421e+00,-2.0994e+02
