logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.0948e-01,-9.8500e-01,2.6547e+00,2.0481e+00,3.1148e+00,4.0216e+00,2.9625e+00,3.2098e+01,-1.0002e+05
3.2617e-02,-1.8216e+00,1.8600e+00,2.3329e+00,1.9806e+00,2.8412e+00,3.9600e+00,2.9105e+01,-9.9339e+04
-7.1474e-01,-1.7400e+00,2.3201e+00,2.6981e+00,2.3759e+00,2.8694e+00,3.8451e+00,3.1477e+01,-1.0109e+05
-9.1196e-02,-1.7720e+00,7.5193e-01,1.5466e+00,2.7956e+00,2.7479e+00,4.6717e+00,3.0019e+01,-9.9702e+04
-4.0597e-01,-1.8772e+00,2.1003e+00,5.3630e-01,1.3262e+00,2.2201e+00,3.3452e+00,3.2063e+01,-1.0244e+05
-7.6328e-01,-5.0248e-01,2.4200e+00,8.7761e-01,3.2941e+00,2.8842e+00,4.0914e+00,2.9303e+01,-8.7175e+04
-1.0007e-02,-1.7446e+00,2.7305e+00,3.1524e+00,3.1111e+00,1.7117e+00,2.9592e+00,3.2224e+01,-9.7862e+04
-7.1032e-01,-1.0543e+00,2.6514e+00,3.0633e+00,1.9242e+00,3.5215e+00,3.7133e+00,3.0587e+01,-9.5644e+04
2.6060e-01,-1.0818e+00,2.2466e+00,1.6913e+00,2.5249e+00,3.1999e+00,4.3808e+00,2.9932e+01,-1.0314e+05
-1.6085e-01,-1.8485e+00,1.8307e+00,2.7762e+00,1.9592e+00,2.1595e+00,2.7581e+00,3.0371e+01,-9.7331e+04
-7.8736e-01,-7.9546e-01,1.4022e+00,3.4674e+00,3.5103e+00,3.1703e+00,5.1349e+00,3.1460e+01,-1.0161e+05
4.8581e-01,-1.2403e+00,2.6906e+00,3.0862e+00,2.1646e+00,2.6507e+00,4.5719e+00,3.0360e+01,-1.0258e+05
-7.0016e-01,-7.6481e-01,4.6203e-02,2.8600e+00,6.8084e-01,4.6067e+00,3.1047e+00,3.0471e+01,-1.0125e+05
-6.6321e-01,-1.6146e+00,2.5965e+00,3.6699e-01,1.4433e+00,3.5030e+00,4.3332e+00,2.9675e+01,-9.8465e+04
-2.4830e-01,-9.5723e-01,1.8720e+00,1.4720e+00,1.6901e+00,2.8191e+00,4.0701e+00,2.9673e+01,-1.0285e+05
4.7352e-01,-1.3902e+00,2.3622e+00,1.1061e+00,3.4327e+00,2.7742e+00,3.7576e+00,2.9886e+01,-9.2418e+04
1.0855e-01,-1.2012e+00,2.2526e+00,1.7199e+00,1.1973e+00,2.6477e+00,3.4761e+00,2.9647e+01,-7.8686e+04
-7.6343e-01,-5.5804e-01,1.4945e+00,2.1395e+00,1.4761e+00,2.9003e+00,3.1681e+00,2.9882e+01,-1.0115e+05
5.4406e-02,-1.2306e+00,2.6356e+00,8.1293e-01,2.4605e+00,2.0930e+00,2.6283e+00,3.1495e+01,-8.4886e+04
-5.8239e-01,-7.1144e-01,2.4998e+00,6.6263e-01,1.8403e+00,2.4238e+00,2.7111e+00,3.0089e+01,-7.5114e+04
-4.4811e-02,-8.6472e-01,1.7556e+00,1.8373e+00,9.8549e-01,2.4913e+00,3.3919e+00,2.9913e+01,-9.4015e+04
-2.7397e-01,-1.2444e+00,2.4436e+00,3.1003e+00,3.4651e+00,3.4049e+00,2.5483e+00,2.9284e+01,-9.9447e+04
1.4459e-01,-8.0123e-01,-7.7384e-01,1.4824e+00,3.2291e+00,3.3971e+00,4.4631e+00,2.9662e+01,-8.7369e+04
3.9006e-01,-1.3846e+00,8.3102e-01,3.1764e+00,3.8937e+00,5.3790e+00,5.3154e+00,3.2587e+01,-9.7730e+04
4.8748e-01,-1.2456e+00,2.4179e+00,1.8915e+00,2.9507e+00,2.3440e+00,3.8010e+00,2.9177e+01,-8.3052e+04
-7.3648e-01,-1.6466e+00,1.1087e+00,-3.3725e-02,1.5700e+00,2.4467e+00,3.0624e+00,3.0078e+01,-1.0324e+05
-7.6351e-02,-9.7111e-01,2.5433e+00,1.7071e+00,9.3131e-01,1.7438e+00,3.1131e+00,3.0506e+01,-7.6725e+04
-3.5715e-01,-1.3046e+00,2.4958e+00,5.9098e-01,1.7301e+00,4.2138e+00,3.8991e+00,2.9990e+01,-1.0326e+05
1.3208e-01,-1.7582e+00,1.2547e+00,2.0156e+00,2.1635e+00,4.8066e+00,4.8171e+00,3.1450e+01,-7.9821e+04
-3.6787e-01,-1.8156e+00,1.7762e+00,7.9466e-01,3.2053e+00,2.4524e+00,2.5411e+00,2.9246e+01,-9.1910e+04
-8.5592e-01,-6.3555e-01,-1.0819e+00,1.6984e+00,2.2561e+00,3.8523e+00,4.3676e+00,2.9670e+01,-2.3907e+04
-2.6505e-01,-1.5155e+00,2.3267e+00,5.9823e-02,2.8973e+00,1.9574e+00,4.0898e+00,3.0789e+01,-9.6319e+04
-4.6107e-01,-5.9249e-01,1.0324e+00,3.2815e+00,3.6642e+00,2.7832e+00,4.8496e+00,3.0698e+01,-8.2708e+03
1.6936e-01,-1.3899e+00,2.0700e+00,-1.8893e-01,1.2971e+00,3.6966e+00,2.6837e+00,3.1416e+01,-1.0158e+05
