logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.6074e-02,-9.6731e-01,1.7874e+00,7.2168e+00,2.5925e+01,-1.6743e+01
1.8637e-01,-6.9260e-01,2.1937e+00,5.3081e+00,2.7976e+01,-3.7537e+02
-4.4970e-01,-5.6337e-02,4.1720e+00,6.9437e+00,2.6970e+01,-4.9568e+03
-3.8472e-02,-1.6427e-01,2.8391e+00,5.0961e+00,2.9221e+01,-1.9932e+02
1.3777e-01,-3.4713e-01,2.3150e+00,4.4085e+00,2.6190e+01,-6.9789e+01
1.5384e-01,-8.2327e-01,2.4825e+00,6.1007e+00,2.6531e+01,-2.0489e+02
-1.4741e-01,-7.6639e-02,3.3700e+00,1.8200e+00,2.7656e+01,-5.8466e+02
-3.2436e-01,-1.6618e-01,1.3941e+00,1.7197e+00,2.6174e+01,-1.8160e+03
-5.2270e-02,-3.7153e-01,4.9306e+00,1.4929e+00,2.9000e+01,-3.9173e+03
3.4300e-02,-9.6611e-01,4.3121e+00,5.7175e+00,2.7467e+01,-4.8092e+03
-2.6416e-01,-3.1985e-01,1.2736e+00,5.5896e+00,2.6236e+01,-1.8306e+03
1.7449e-01,-9.1522e-01,1.7245e+00,5.0026e-01,2.6506e+01,-4.4747e+02
1.1328e-01,-1.8827e-02,2.4092e+00,7.3716e-01,2.9029e+01,-3.2497e+03
-3.2047e-01,-9.8430e-02,2.3141e+00,7.0049e+00,2.6183e+01,-1.4386e+02
-2.1616e-01,-4.5771e-01,3.0632e+00,3.3690e+00,2.6944e+01,-8.0655e+02
-2.4475e-01,-5.9777e-01,2.8284e+00,3.1256e+00,2.8290e+01,-1.5141e+00
1.6091e-01,-4.2733e-01,2.7122e+00,2.1412e+00,2.9326e+01,-5.9958e+02
-3.7004e-01,-4.2005e-01,3.9095e+00,5.8702e+00,2.7020e+01,-3.8683e+03
-4.1155e-01,-2.3641e-01,3.1346e+00,5.8041e+00,2.7988e+01,-3.5031e+02
-4.9422e-01,-2.6294e-02,3.1737e+00,9.1439e-01,2.5092e+01,-2.9829e+03
-4.7901e-01,-1.3641e-01,4.9945e+00,2.6699e+00,2.9251e+01,-4.0100e+03
-4.1381e-02,-5.5889e-01,3.1088e+00,6.2606e+00,2.6257e+01,-1.8089e+03
-1.5283e-01,-1.5281e-01,3.7121e+00,3.0061e+00,2.5690e+01,-4.4045e+03
-1.9789e-01,-6.8703e-02,3.6927e+00,3.4119e+00,2.7843e+01,-1.2493e+03
-4.6872e-01,-4.3659e-03,3.4760e+00,6.2578e+00,2.9657e+01,-3.9901e+01
-2.4379e-01,-1.8870e-01,4.4908e+00,5.3613e+00,2.7944e+01,-4.4620e+03
1.7001e-01,-5.5142e-01,1.9775e+00,6.5320e+00,2.8486e+01,-2.0086e+03
2.9380e-02,-6.2144e-01,4.2658e+00,5.1442e+00,2.9657e+01,-1.2162e+03
-1.2613e-01,-4.0136e-01,2.2006e+00,3.7479e+00,2.7478e+01,-1.7515e+02
-6.0756e-02,-1.3036e-01,4.3289e+00,6.2506e+00,2.7742e+01,-3.9399e+03
-3.9911e-02,-2.6573e-01,3.2655e+00,6.2242e+00,2.9933e+01,-3.4820e+01
9.1904e-02,-3.8566e-01,1.6331e+00,3.8635e+00,2.6418e+01,-5.4919e+02
-9.9038e-02,-6.8236e-01,4.0145e+00,1.5167e+00,2.7817e+01,-2.4020e+03
-1.0749e-01,-5.5359e-01,2.2273e+00,2.3655e-01,2.6468e+01,-3.2641e+00
-2.9915e-01,-9.6327e-01,4.2162e+00,2.7370e+00,2.9459e+01,-1.3369e+03
8.8136e-02,-8.6425e-01,1.9800e+00,7.3284e+00,2.6576e+01,-2.8515e+01
1.8882e-01,-9.4935e-01,1.9030e+00,2.9654e+00,2.7061e+01,-4.1281e+02
-3.9355e-01,-5.3413e-01,3.2829e+00,1.6709e+00,2.5931e+01,-2.5742e+03
-6.4009e-02,-8.8716e-01,3.5763e+00,3.4236e+00,2.9510e+01,-1.3777e+02
-1.9693e-01,-7.8271e-01,4.0943e+00,6.7968e+00,2.7648e+01,-3.8265e+03
-1.9280e-01,-9.8169e-01,1.5946e+00,6.4542e+00,2.7099e+01,-7.2001e+02
-2.4559e-01,-7.0285e-01,3.8719e+00,7.9827e+00,2.7760e+01,-2.8380e+03
-2.5384e-01,-2.8971e-01,2.3435e+00,2.6268e+00,2.9084e+01,-1.4183e+03
1.4749e-01,-7.6496e-01,3.2550e+00,3.0983e-01,2.6900e+01,-1.0659e+03
-3.1518e-01,-1.7877e-01,1.9733e+00,5.2373e+00,2.6868e+01,-1.6014e+02
-4.3292e-01,-9.6163e-01,2.1032e+00,3.0285e+00,2.9435e+01,-3.6717e+03
-1.9917e-01,-6.9386e-02,3.0613e+00,6.4957e+00,2.9409e+01,-4.0438e+01
7.2001e-02,-5.3558e-01,1.2957e+00,3.8169e+00,2.6003e+01,-1.7281e+03
-3.4357e-01,-8.2246e-01,2.4170e+00,7.3028e+00,2.7168e+01,-6.7630e+01
-3.6628e-01,-2.4784e-01,1.2019e+00,7.5308e-01,2.5193e+01,-6.8424e+02
-3.1900e-01,-7.0532e-02,3.9123e+00,3.0087e+00,2.6698e+01,-3.5754e+03
-2.7247e-01,-8.5352e-02,2.7638e+00,5.5192e+00,2.6954e+01,-2.8127e+02
-1.4542e-01,-4.7791e-01,1.6088e+00,5.2684e+00,2.5652e+01,-8.1104e+01
-1.5939e-01,-1.7639e-02,1.5301e+00,5.7620e-01,2.5339e+01,-2.6268e+02
-4.2789e-01,-1.8066e-01,3.5184e+00,6.2907e+00,2.5386e+01,-4.8612e+03
2.2900e-01,-1.1717e-01,3.5217e+00,7.4397e+00,2.6991e+01,-1.7939e+03
-1.3331e-01,-3.1420e-01,2.1264e+00,5.4459e+00,2.7479e+01,-2.1892e+02
9.3356e-02,-7.8117e-01,3.9848e+00,3.6875e+00,2.7041e+01,-3.5839e+03
2.0460e-01,-3.7457e-01,4.0214e+00,2.4407e+00,2.6466e+01,-4.1655e+03
2.3298e-01,-2.4604e-02,3.0194e+00,6.5384e+00,2.8795e+01,-1.1766e+01
-4.8047e-01,-8.8211e-01,4.3175e+00,1.1939e+00,2.7847e+01,-3.9365e+03
-4.8704e-01,-8.2305e-01,2.6825e+00,1.2864e+00,2.6170e+01,-7.0767e+02
4.1677e-02,-3.4592e-01,2.5688e+00,7.7920e+00,2.8555e+01,-1.3230e+02
-1.3021e-01,-6.7356e-01,1.4634e+00,7.7793e+00,2.6372e+01,-5.0217e+02
-3.5941e-01,-7.8510e-01,4.0434e+00,7.5646e+00,2.7508e+01,-4.0433e+03
-3.4373e-03,-6.5260e-01,1.5143e+00,5.4822e+00,2.6956e+01,-1.3949e+03
-4.8035e-01,-4.9940e-01,3.1125e+00,1.8638e+00,2.5008e+01,-3.3502e+03
-1.6508e-01,-4.9467e-01,1.3241e+00,6.5996e+00,2.6201e+01,-8.3320e+02
-4.6448e-01,-1.5554e-01,3.6627e+00,1.0464e+00,2.7919e+01,-1.1403e+03
-3.1658e-01,-9.3616e-01,2.7070e+00,5.6777e+00,2.8591e+01,-1.5462e+01
-1.3862e-01,-6.2244e-01,2.8963e+00,5.6924e+00,2.8211e+01,-5.7579e+01
-4.8272e-01,-4.9267e-01,3.7462e+00,1.1916e+00,2.8362e+01,-1.1118e+03
-6.1121e-02,-9.5565e-01,4.7766e+00,7.1725e+00,2.9407e+01,-3.7296e+03
-4.5748e-01,-8.9673e-01,2.9413e+00,5.4298e+00,2.5454e+01,-2.5913e+03
-6.0228e-02,-5.1757e-01,4.4430e+00,6.3941e+00,2.9114e+01,-2.5696e+03
-1.2330e-01,-5.5003e-01,2.8694e+00,9.2724e-01,2.6869e+01,-4.0721e+02
-1.4724e-01,-8.5564e-01,2.2540e+00,5.0435e+00,2.9458e+01,-1.5877e+03
