logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod,logl
-1.1056e+00,-1.8599e+00,2.2892e+00,1.3006e+00,1.7633e+00,3.0801e+01,-1.4836e+03
-1.0842e+00,-1.5914e+00,1.3506e+00,2.4488e+00,1.5959e+00,3.0686e+01,-1.5577e+03
-1.1173e+00,-1.9314e+00,2.0477e+00,2.1935e+00,2.6457e+00,3.1405e+01,-1.4003e+03
-1.1248e+00,-1.8964e+00,1.1043e+00,2.4696e+00,2.6906e+00,3.1421e+01,-1.4755e+03
-1.0855e+00,-1.6869e+00,2.9632e-01,2.7256e+00,1.5423e+00,3.1299e+01,-1.3455e+03
-1.1778e+00,-1.8679e+00,2.2866e+00,1.5817e+00,1.6151e+00,3.0816e+01,-1.5087e+03
-1.2096e+00,-1.5970e+00,6.0337e-01,1.1964e+00,2.8089e+00,3.1179e+01,-1.5225e+03
-1.1545e+00,-1.7915e+00,1.5242e+00,2.5701e+00,2.4786e+00,3.1394e+01,-1.4492e+03
-1.2407e+00,-1.5551e+00,2.2794e+00,1.2059e+00,2.2490e+00,3.1046e+01,-1.5235e+03
-1.2093e+00,-1.7736e+00,1.8182e+00,2.4764e+00,1.5226e+00,3.1010e+01,-1.4218e+03
-1.1586e+00,-1.6221e+00,2.1223e-01,2.6731e+00,2.6206e+00,3.1572e+01,-1.5134e+03
-1.1303e+00,-1.8181e+00,7.5318e-01,2.8339e+00,1.6936e+00,3.1639e+01,-1.5204e+03
-1.1944e+00,-1.5930e+00,1.2747e+00,2.0953e+00,2.3807e+00,3.0684e+01,-1.4597e+03
-1.0273e+00,-1.9965e+00,1.2761e+00,2.9638e+00,1.5813e+00,3.1935e+01,-1.5966e+03
-1.0092e+00,-1.8242e+00,2.4055e+00,1.8431e+00,2.4503e+00,3.1413e+01,-1.3960e+03
-1.1201e+00,-1.5981e+00,5.8002e-01,2.7305e+00,1.7390e+00,3.1313e+01,-1.3532e+03
-1.1681e+00,-1.9974e+00,1.3802e+00,1.7223e+00,2.8319e+00,3.1384e+01,-1.5348e+03
-1.1665e+00,-1.6432e+00,2.4875e+00,2.1933e+00,2.4645e+00,3.1737e+01,-1.5316e+03
-1.0721e+00,-1.7828e+00,2.4556e+00,1.6771e+00,1.3642e+00,3.1184e+01,-1.4480e+03
-1.0810e+00,-1.9626e+00,2.3313e+00,1.8431e+00,1.6794e+00,3.1053e+01,-1.5011e+03
-1.2074e+00,-1.8199e+00,5.1793e-01,2.4550e+00,2.2342e+00,3.0983e+01,-1.3978e+03
-1.1057e+00,-1.8853e+00,1.0544e+00,2.1286e+00,2.6158e+00,3.0974e+01,-1.4502e+03
-1.2192e+00,-1.5252e+00,2.0264e+00,2.3836e+00,2.8759e+00,3.1828e+01,-1.4961e+03
-1.1891e+00,-1.7880e+00,2.1110e+00,1.5417e+00,2.5979e+00,3.1190e+01,-1.3754e+03
-1.2041e+00,-1.8257e+00,1.2012e+00,2.6098e+00,2.5541e+00,3.1522e+01,-1.3976e+03
-1.0290e+00,-1.7520e+00,1.3834e+00,1.9793e+00,2.5675e+00,3.0882e+01,-1.3721e+03
-1.2055e+00,-1.9181e+00,1.1432e+00,1.7873e+00,2.6166e+00,3.0860e+01,-1.3942e+03
-1.0097e+00,-1.9811e+00,1.8559e+00,2.6107e+00,2.6807e+00,3.1689e+01,-1.5696e+03
-1.1854e+00,-1.6939e+00,2.3098e+00,2.0849e+00,2.2348e+00,3.1275e+01,-1.3960e+03
-1.1679e+00,-1.5750e+00,2.0964e+00,1.5723e+00,2.4230e+00,3.0885e+01,-1.5215e+03
-1.1552e+00,-1.5896e+00,7.0876e-01,2.6833e+00,1.4327e+00,3.1203e+01,-1.3421e+03
-1.0769e+00,-1.7443e+00,1.4807e+00,2.9644e+00,1.5508e+00,3.1889e+01,-1.5814e+03
-1.1904e+00,-1.9067e+00,1.2958e+00,2.2575e+00,2.5842e+00,3.1158e+01,-1.3591e+03
-1.0405e+00,-1.7411e+00,2.0601e-01,2.2783e+00,2.6968e+00,3.1167e+01,-1.4492e+03
-1.0109e+00,-1.5423e+00,8.6874e-01,2.9031e+00,2.4919e+00,3.1933e+01,-1.5858e+03
-1.1048e+00,-1.8938e+00,1.7672e+00,2.8858e+00,2.2918e+00,3.1935e+01,-1.5661e+03
-1.1380e+00,-1.6162e+00,2.3488e+00,2.1857e+00,2.0443e+00,3.1282e+01,-1.3913e+03
-1.1334e+00,-1.5703e+00,1.7018e+00,1.7730e+00,2.4600e+00,3.0789e+01,-1.5968e+03
-1.1945e+00,-1.8947e+00,1.4410e+00,2.3726e+00,2.6465e+00,3.1340e+01,-1.3738e+03
-1.0703e+00,-1.8404e+00,2.1064e+00,1.7265e+00,1.6593e+00,3.0546e+01,-1.5505e+03
-1.1611e+00,-1.5010e+00,8.6768e-01,2.7716e+00,1.3783e+00,3.1415e+01,-1.3830e+03
-1.0535e+00,-1.6415e+00,9.7616e-01,2.5395e+00,2.7938e+00,3.1629e+01,-1.4424e+03
-1.0741e+00,-1.5061e+00,1.2238e+00,2.5483e+00,1.3337e+00,3.0832e+01,-1.4898e+03
-1.0606e+00,-1.6569e+00,3.5760e-01,2.6961e+00,1.2381e+00,3.1276e+01,-1.5835e+03
-1.0805e+00,-1.8464e+00,3.3270e-01,2.3833e+00,2.5815e+00,3.1174e+01,-1.3382e+03
-1.2006e+00,-1.7527e+00,2.6273e-01,1.7427e+00,2.7637e+00,3.1176e+01,-1.5288e+03
-1.0827e+00,-1.6185e+00,1.3346e+00,2.6033e+00,2.3611e+00,3.1424e+01,-1.5778e+03
-1.0469e+00,-1.6194e+00,1.1680e+00,2.9701e+00,1.6164e+00,3.1865e+01,-1.5602e+03
-1.0187e+00,-1.5613e+00,1.2179e+00,2.5677e+00,2.8040e+00,3.1735e+01,-1.5337e+03
-1.1767e+00,-1.7161e+00,2.3789e+00,2.4669e+00,1.8181e+00,3.1549e+01,-1.4336e+03
-1.0651e+00,-1.8912e+00,2.4309e+00,1.4227e+00,2.3512e+00,3.1280e+01,-1.5392e+03
-1.0872e+00,-1.9652e+00,3.9574e-01,2.5246e+00,2.0819e+00,3.0946e+01,-1.4912e+03
-1.0973e+00,-1.6815e+00,8.6933e-01,2.3658e+00,2.8140e+00,3.1507e+01,-1.3839e+03
-1.0335e+00,-1.7101e+00,1.3996e+00,1.8693e+00,2.8117e+00,3.1274e+01,-1.3574e+03
-1.0929e+00,-1.8425e+00,1.4595e+00,1.3491e+00,2.6635e+00,3.0873e+01,-1.3446e+03
-1.0502e+00,-1.5857e+00,1.0096e+00,2.6852e+00,1.8261e+00,3.1304e+01,-1.4460e+03
-1.1932e+00,-1.5979e+00,1.1400e-01,2.6727e+00,1.1081e+00,3.1132e+01,-1.3545e+03
