# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
23.950744 1.237232
23.937333 1.257051
23.967849 1.208223
23.963822 1.266607
24.020281 1.245784
24.049386 1.273568
24.075932 1.237890
24.036850 1.288177
23.964394 1.229183
23.913689 1.221064
23.888124 1.190778
23.882100 1.182446
23.881885 1.179691
23.865394 1.158414
23.866736 1.158891
23.878795 1.215167
23.913185 1.240569
23.963067 1.249810
23.990064 1.247499
23.984042 1.261727
23.979548 1.269058
23.980902 1.265254
24.009858 1.285962
24.011026 1.317658
23.987864 1.357175
24.002998 1.321400
24.016697 1.316874
24.014512 1.307131
23.974217 1.309594
23.953341 1.308823
23.978219 1.276146
24.003561 1.263033
24.053896 1.296068
24.109789 1.328002
24.148250 1.375976
24.152386 1.436391
24.183371 1.430394
24.195109 1.432015
24.236311 1.426326
24.294772 1.414609
24.301803 1.442286
24.333599 1.413898
24.340103 1.378260
24.304142 1.373807
24.299768 1.341475
24.313192 1.294570
24.261091 1.271165
24.182222 1.281248
24.145931 1.229259
24.121518 1.169410
24.034839 1.100203
23.857292 0.939567
23.682459 0.781094
23.691708 0.701070
23.646013 0.646226
23.697577 0.738801
23.814341 0.922453
23.855900 1.052635
23.836584 0.999970
23.827439 0.924338
23.947941 1.005367
24.033996 1.127785
24.069017 1.185091
24.040462 1.227370
23.998431 1.233318
24.005448 1.207956
24.058822 1.227254
24.114583 1.276810
24.152892 1.281693
24.135140 1.277671
24.093943 1.215831
24.050830 1.144009
23.997266 1.166301
24.006222 1.181867
24.015679 1.230924
24.034080 1.314459
24.083030 1.291647
24.099306 1.349323
24.079109 1.339629
24.097685 1.385255
24.116492 1.383943
24.153307 1.274229
24.165182 1.197644
24.146743 1.175170
24.141362 1.234431
24.223204 1.250501
24.319979 1.357463
24.417752 1.384419
24.476688 1.460674
24.490654 1.481743
24.483528 1.535918
24.519611 1.489690
24.531108 1.500675
24.565305 1.521277
24.530626 1.527888
24.490659 1.509100
24.429277 1.500211
24.371564 1.472057
24.345358 1.453726
24.362850 1.484487
24.392391 1.511571
24.423679 1.532794
24.362299 1.517122
24.261547 1.531898
24.232936 1.447522
24.164026 1.426000
23.949361 1.364806
23.746962 1.293385
23.773082 1.250030
23.873236 1.348200
24.066454 1.342130
24.252445 1.348951
24.371518 1.342773
24.439154 1.320325
24.476983 1.321795
24.532795 1.349984
24.497814 1.446333
24.501688 1.448984
24.575549 1.391917
24.591557 1.402213
24.600255 1.388319
24.537202 1.398750
24.473274 1.368874
24.397158 1.385522
24.308792 1.367903
24.330405 1.336393
24.428332 1.329010
24.497263 1.403839
24.495239 1.381333
24.536597 1.385624
24.537967 1.405075
