# Vega Mags
# m51b region extracted from square X=[2652,2908), Y=[10412, 10668) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.090416 1.298782 0.871213
25.133176 1.276740 0.776673
25.131195 1.273768 0.738572
25.162051 1.154311 0.887825
25.171604 1.195071 0.897085
25.192436 1.268978 0.824151
25.174087 1.203603 0.892510
25.200508 1.239113 0.833572
25.215187 1.206710 0.863226
25.223954 1.215849 0.805160
25.213518 1.172339 0.807071
25.176360 1.276075 0.817763
25.280198 1.221937 0.819379
25.203317 1.359664 0.877464
25.213386 1.342973 0.870663
25.235114 1.268962 0.827121
25.239786 1.269321 0.785142
25.216032 1.225391 0.891445
25.207688 1.178580 0.920313
25.209180 1.206617 0.866654
25.171517 1.305501 0.782768
25.138973 1.316128 0.840945
25.158197 1.231311 0.861699
25.208693 1.239498 0.745455
25.220788 1.276072 0.742642
25.177430 1.243448 0.852675
25.129738 1.260527 0.880098
25.100150 1.272452 0.767943
25.078573 1.336205 0.715467
25.095477 1.192736 0.854193
25.100120 1.158381 0.833677
25.100208 1.186898 0.827233
25.126448 1.166567 0.808734
25.100449 1.219418 0.798332
25.040752 1.255132 0.854915
25.012230 1.239808 0.896602
25.010189 1.261597 0.842806
25.001717 1.382189 0.751568
25.110286 1.227277 0.825403
25.157192 1.205485 0.719304
25.068704 1.214992 0.817255
25.074607 1.226881 0.807125
25.063816 1.188787 0.957143
25.102810 1.207821 0.817310
25.106526 1.205907 0.812008
25.114163 1.188927 0.839361
25.075755 1.224220 0.879865
25.006959 1.286450 0.845334
25.025308 1.336661 0.770704
25.089114 1.217606 0.824569
25.144501 1.212545 0.738986
25.147585 1.153511 0.781964
25.169247 1.082621 0.841322
25.177321 1.142473 0.766307
25.135735 1.188927 0.817526
25.119209 1.173484 0.836697
25.142951 1.116214 0.857795
25.185512 1.100977 0.821890
25.152561 1.226586 0.842498
25.126057 1.221483 0.824684
25.118439 1.208601 0.791968
25.151459 1.143744 0.772192
25.142245 1.173024 0.813577
25.118519 1.214487 0.806473
25.110987 1.261987 0.768986
25.143998 1.191841 0.792347
25.098416 1.230379 0.756949
25.118393 1.187098 0.815744
25.086659 1.217067 0.864951
25.046607 1.235288 0.889996
25.071409 1.235444 0.821706
25.098426 1.216598 0.831389
25.153452 1.241705 0.780497
25.119664 1.267114 0.788592
25.048796 1.270722 0.885001
25.058048 1.263489 0.831230
25.090914 1.223625 0.819633
25.174944 1.262630 0.695389
25.161763 1.250957 0.866328
25.126986 1.205271 0.867363
25.134493 1.203695 0.823840
25.151199 1.230415 0.838580
25.139268 1.232044 0.814689
25.044953 1.317576 0.809300
25.014304 1.296683 0.895563
25.132944 1.265308 0.781371
25.175278 1.354812 0.738879
25.208707 1.325838 0.795785
25.199620 1.430412 0.857434
25.213877 1.376969 0.968950
25.194914 1.408490 0.990046
25.187851 1.433612 1.010301
25.215599 1.408735 0.948517
25.215833 1.371674 1.034160
25.219133 1.302483 1.112416
25.215101 1.290600 1.036324
25.214817 1.272458 0.906547
25.219929 1.252605 0.952281
25.198307 1.283079 0.933001
25.188360 1.297407 0.885489
25.176764 1.188845 0.906637
25.187826 1.318868 0.817482
25.215343 1.342713 0.724413
25.166232 1.384331 0.831484
25.213813 1.254053 0.908554
25.205472 1.242178 0.926010
25.184510 1.285118 0.902960
25.237546 1.284190 0.822320
25.245037 1.223046 0.965802
25.256625 1.259575 0.953272
25.278702 1.279180 0.803864
25.275702 1.219249 0.916592
25.257443 1.208084 0.915584
25.251505 1.276737 0.865934
25.199393 1.245673 0.912154
25.187402 1.264260 0.870079
25.182724 1.292813 0.890868
25.200341 1.329509 0.914736
25.279146 1.310081 0.791418
25.212107 1.366987 0.844084
25.150432 1.309233 0.884692
25.138754 1.347681 0.917926
25.210859 1.311858 0.863051
25.197599 1.307034 0.931776
25.205854 1.309410 0.965232
25.189020 1.329364 0.845283
25.249505 1.255573 0.839438
25.259899 1.300624 0.810997
25.292904 1.251159 0.825327
25.243006 1.294088 0.936088
25.220264 1.340071 0.843307
25.145862 1.409147 0.868325
25.128348 1.330618 1.003775
25.140985 1.279417 0.895681
25.127246 1.310767 0.901276
25.089430 1.181587 0.793368
25.135385 1.118219 0.872488
25.229682 1.021749 0.810230
25.196799 1.113469 0.747143
25.123038 1.193561 0.707771
25.104035 1.193859 0.802059
25.044240 1.212654 0.845628
25.023749 1.252863 0.811502
25.041631 1.247277 0.769870
25.136374 1.232176 0.615069
25.190758 1.104705 0.745712
25.230371 1.122499 0.682388
25.272465 1.134828 0.731675
25.260348 1.092274 0.756894
25.248462 1.091834 0.775441
25.256280 1.056627 0.798360
25.266835 1.081079 0.753211
25.237351 1.116515 0.787721
25.205628 1.157314 0.773531
25.184747 1.139610 0.746969
25.149997 1.151281 0.818833
25.091465 1.202143 0.817187
25.039764 1.233413 0.863088
25.052869 1.170195 0.851879
25.159400 1.123406 0.792273
25.267417 1.083257 0.718859
25.266338 1.075871 0.818650
25.269817 1.112092 0.855152
25.193567 1.166240 0.794794
25.093802 1.256697 0.747393
25.102592 1.185561 0.821027
25.010328 1.228734 0.877017
25.013309 1.194292 0.881855
25.099274 1.166241 0.726715
25.158562 1.144404 0.713275
25.199739 1.153793 0.744258
25.162356 1.133185 0.779819
25.139075 1.136926 0.817283
25.132145 1.142103 0.794846
25.110846 1.195527 0.797669
25.101811 1.196786 0.749246
25.085088 1.158339 0.807814
25.085010 1.206170 0.752791
25.044380 1.162006 0.766023
25.104798 1.138149 0.788051
25.114388 1.169212 0.751375
25.118377 1.227492 0.700954
25.170285 1.178727 0.766904
25.114223 1.166070 0.819880
25.150612 1.109589 0.868207
25.127192 1.190195 0.799040
25.136013 1.166184 0.841212
25.135253 1.122755 0.905534
25.068996 1.230714 0.822930
25.128087 1.194481 0.713935
25.186475 1.160701 0.703148
25.228946 1.103113 0.797545
25.167385 1.180333 0.798189
25.110872 1.187157 0.841655
25.056055 1.263425 0.810157
25.097921 1.247785 0.775132
25.122349 1.289336 0.803098
25.138843 1.215395 0.934903
25.105926 1.214572 0.913255
25.078208 1.181586 0.900022
25.071227 1.191117 0.865128
25.083650 1.204313 0.822950
25.081904 1.218807 0.802375
25.049172 1.220428 0.748429
25.101382 1.163149 0.789104
25.136776 1.150253 0.764180
25.187702 1.170270 0.657757
25.214978 1.100605 0.744541
25.224357 1.056985 0.787817
25.201690 1.094697 0.769358
25.169033 1.144422 0.792956
25.213770 1.099537 0.837091
25.144405 1.233836 0.770465
25.089538 1.292278 0.798412
25.094636 1.243577 0.824022
25.127595 1.227255 0.853793
25.064656 1.249697 0.857322
25.101642 1.168431 0.881793
25.074026 1.122766 0.871737
25.079720 1.242016 0.754402
25.166420 1.162979 0.838050
25.112590 1.149592 0.849491
25.136865 1.208394 0.749685
25.137387 1.205280 0.764033
25.145913 1.153099 0.805661
25.178695 1.147544 0.801371
25.193508 1.116463 0.802259
25.195037 1.147903 0.787527
25.195612 1.166615 0.873877
25.210447 1.163120 0.847054
25.117241 1.282255 0.856242
25.045810 1.286400 0.888488
25.012457 1.261594 0.895262
25.071079 1.248314 0.789320
25.151943 1.174272 0.813282
25.117525 1.257752 0.774789
25.130234 1.223774 0.774842
25.154284 1.172360 0.871794
25.137618 1.203529 0.882799
25.112852 1.224854 0.811786
25.091409 1.225435 0.892564
25.170778 1.163648 0.849022
25.087718 1.208056 0.853029
25.005441 1.328249 0.846052
25.067137 1.304259 0.811581
25.046611 1.316955 0.783950
25.059159 1.237470 0.818063
25.039367 1.313093 0.784699
25.038485 1.270305 0.870099
25.139595 1.212339 0.818359
25.161021 1.216336 0.830312
25.262803 1.207600 0.821578
25.267043 1.190696 0.857812
25.238160 1.207035 0.899682
25.104253 1.293078 0.888365
25.132537 1.192158 0.874290
25.112804 1.214244 0.875300
25.160001 1.268153 0.739119
25.146765 1.320882 0.736797
25.191063 1.171596 0.871269
25.159209 1.155722 0.890814
25.160831 1.246014 0.800945
25.147952 1.240697 0.953755
25.152461 1.255274 0.881465
25.210553 1.182922 0.898922
25.225834 1.225653 0.928013
25.191312 1.227211 0.880344
25.212418 1.214183 0.826931
25.304125 1.198348 0.824985
25.285059 1.266626 0.849301
25.215904 1.261074 0.941295
