age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.15,6.6622,4.093,3.2657,-3.6253,-2.8258,-2.6859,-2.1533,-1.7069,-1.1656,-2.0534,-2.1822,-1.856,-2.054
5.15,6.794,4.1247,3.3248,-3.6295,-2.805,-2.6574,-2.1035,-1.6342,-1.0854,-2.2246,-2.3004,-2.118,-2.251
5.15,6.9327,4.1568,3.3807,-3.6268,-2.7691,-2.6137,-2.038,-1.5477,-0.9913,-2.3613,-2.3842,-2.332,-2.406
5.15,7.0794,4.1894,3.4332,-3.6221,-2.7181,-2.5545,-1.9562,-1.4462,-0.882,-2.4657,-2.4374,-2.513,-2.531
5.15,7.2359,4.2223,3.4832,-3.6134,-2.6574,-2.4857,-1.865,-1.3361,-0.7639,-2.5484,-2.4725,-2.668,-2.633
5.15,7.405,4.2555,3.5308,-3.5996,-2.589,-2.4095,-1.7668,-1.2195,-0.6395,-2.6144,-2.4949,-2.798,-2.711
5.15,7.5908,4.2892,3.5761,-3.5787,-2.5145,-2.3275,-1.6635,-1.0982,-0.5105,-2.6667,-2.5077,-2.921,-2.782
5.15,7.8,4.3234,3.6193,-3.5391,-2.4335,-2.2396,-1.5557,-0.973,-0.3776,-2.7041,-2.5096,-3.021,-2.832
5.15,8.0527,4.3584,3.659,-3.4601,-2.3425,-2.1423,-1.4405,-0.8408,-0.2375,-2.7249,-2.4992,-3.114,-2.873
5.15,8.3992,4.3945,3.6946,-3.354,-2.2339,-2.0262,-1.3028,-0.6847,-0.0719,-2.7285,-2.4689,-3.021,-2.749
