# Imag Gmag-Imag
# F814W F475W-F814W
# Vega apparent mags
# Bulge region extracted by Charlie
25.14758 1.75493
25.19942 1.82623
25.21566 1.91421
25.21688 1.89000
25.27191 1.81026
25.34493 1.78654
25.42833 1.73838
25.19686 1.82146
25.10206 1.78390
25.03936 1.86130
25.00406 1.88203
25.04845 1.82662
24.98067 1.99486
24.92848 2.20918
24.70070 2.43669
24.28446 2.75702
24.45398 2.57562
24.99731 2.03974
25.07397 1.78462
24.97768 1.75491
24.99255 1.85572
24.88733 1.82651
24.51580 1.78238
24.31199 1.76956
24.58174 1.78732
24.91799 1.78566
25.08226 1.75756
25.15103 1.81224
25.04822 1.85994
24.83531 2.05084
25.04011 1.89615
25.30615 1.67117
25.35113 1.71718
25.31591 1.77763
25.21417 1.77389
25.04503 1.94667
24.79997 1.99550
24.17013 2.29205
23.88351 2.32316
24.62005 1.97588
25.00547 1.81453
25.08076 1.69315
25.11555 1.67854
25.09743 1.72578
25.13651 1.73497
25.23262 1.68369
25.43359 1.64997
25.26816 1.77023
25.18822 1.78123
25.30522 1.74799
25.37814 1.66778
25.25949 1.75643
25.23781 1.77811
25.23630 1.79317
25.21896 1.75246
25.36330 1.64791
25.39448 1.72438
25.35793 1.78550
25.23033 1.86578
25.14767 1.93434
24.95147 2.04462
24.57313 2.30846
24.82765 1.99172
25.04298 1.73328
25.20828 1.66619
25.23340 1.64811
25.22834 1.68148
25.21855 1.56240
25.03382 1.20202
24.55931 1.06671
25.28053 1.67153
25.22118 1.77376
25.11155 1.83639
25.33587 1.70111
25.44352 1.71721
25.46468 1.74004
25.42384 1.63184
25.28311 1.67267
25.14229 1.74064
24.97764 1.69154
24.76653 1.77129
24.89237 1.80102
25.10560 1.68713
25.04367 1.67718
25.00436 1.74722
25.00804 1.88117
24.88478 1.99983
24.74104 2.10838
25.04915 1.92000
25.28887 1.80327
25.30521 1.75268
25.17516 1.77480
25.14128 1.67523
25.25197 1.68070
25.28766 1.69948
25.32921 1.61502
25.27691 1.53143
25.16418 1.56458
25.07216 1.65937
25.02306 1.77176
24.56932 1.98610
24.14814 2.12888
24.13325 2.31285
24.00421 2.65214
24.45710 2.27888
25.01845 1.82149
25.12214 1.77413
25.29437 1.72264
25.37006 1.64110
25.29485 1.66854
25.28736 1.66418
25.16825 1.74145
24.88006 1.86665
24.68869 2.03958
24.63723 2.10766
24.85761 1.85499
24.90683 1.75051
24.97669 1.81620
25.11292 1.90845
24.98436 2.07441
24.67473 2.28162
24.87351 2.11303
25.21497 1.83441
25.41361 1.70174
25.34348 1.69676
25.24052 1.71308
25.25901 1.74575
25.11926 1.78236
25.00424 1.81410
25.06845 1.84952
25.12944 1.98127
25.08740 2.11162
25.01413 2.09624
25.04396 2.03746
25.09954 2.02571
24.96173 1.94917
24.73973 1.91182
24.67466 1.90054
24.70077 1.80769
24.36850 1.93194
24.00677 2.13853
24.35020 2.05238
24.89228 1.92002
25.01819 1.83042
25.01362 1.79690
24.98878 1.80429
25.08404 1.83668
25.19470 1.72889
25.19680 1.68350
25.15410 1.79457
25.12901 1.75160
25.02855 1.77381
24.98432 1.92030
24.81307 2.07281
24.24494 2.47086
23.93198 2.69234
24.65231 2.16635
24.97661 1.94393
24.96806 1.79948
24.96834 1.71896
25.09955 1.67290
25.22337 1.72890
25.31384 1.74892
25.42495 1.68317
25.32027 1.79733
25.28106 1.75473
25.29969 1.73054
25.35833 1.63829
25.34676 1.71358
25.36017 1.73948
25.34474 1.72224
25.22960 1.74033
25.33948 1.71373
25.43975 1.73758
25.35231 1.75941
25.38095 1.67606
25.27847 1.78092
25.23643 1.77380
25.17692 1.82072
25.11649 1.82606
25.00086 1.81119
25.09665 1.63321
24.96159 1.64242
25.06106 1.62517
25.27378 1.67734
25.09757 1.59931
24.67731 1.67892
24.45259 1.79382
24.09120 2.19282
25.39965 1.67532
25.51362 1.67971
25.50594 1.68171
25.38537 1.66939
25.14157 1.73862
25.15750 1.66024
24.88211 1.78224
24.71357 1.81122
25.01785 1.76725
25.11378 1.65916
24.97745 1.65874
25.08057 1.73528
25.21477 1.83185
25.23174 1.81531
25.21017 1.81299
25.27712 1.73220
25.30051 1.73045
25.24036 1.73038
25.08085 1.80436
24.92959 1.87143
25.04403 1.79745
25.15293 1.73634
25.21875 1.68509
25.09548 1.69046
25.00713 1.73516
25.00205 1.80697
25.04973 1.83588
24.76067 2.07456
24.38076 2.29645
24.02442 2.68021
23.82965 2.91826
24.48583 2.32767
24.93843 1.83731
25.08762 1.82391
25.30104 1.75460
25.33308 1.71269
25.32478 1.68141
25.28411 1.65179
25.23594 1.71731
25.04359 1.87795
24.96547 1.88562
24.96556 1.72131
24.86104 1.73672
24.82726 1.79164
24.93278 1.93552
24.99242 2.05562
24.68487 2.34420
24.13176 2.79088
24.44754 2.45267
25.02609 1.87896
25.21822 1.63683
25.26894 1.60511
25.12520 1.72433
25.13864 1.63237
25.07433 1.64633
24.99363 1.75214
24.99339 1.74771
25.11843 1.74328
25.20225 1.83532
25.16656 1.88732
25.17458 1.87274
25.04478 2.07697
24.71325 2.14217
24.20998 2.15420
24.11593 2.06724
24.46864 1.82338
24.50031 1.86743
24.29581 2.25880
24.56244 2.21891
24.97780 1.97060
25.00556 1.87124
24.89644 1.88046
24.89599 1.91569
25.08027 1.83845
25.06619 1.79269
24.93855 1.82518
24.87775 1.82684
24.65535 1.84495
