age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.1,0.2232,3.6261,-0.0456,-0.6036,6.0565,5.5641,4.6572,4.3104,4.0719,10.9711,8.5201,23.96,12.052
5.1,0.2837,3.6446,0.126,-0.7809,5.4475,5.004,4.2106,3.9175,3.7213,9.8384,7.6444,22.363,11.068
5.1,0.3277,3.6562,0.2288,-0.9634,5.0914,4.6767,3.9454,3.6867,3.5214,9.164,7.1271,21.537,10.517
5.1,0.3866,3.6709,0.3561,-1.0176,4.6649,4.2841,3.6229,3.4055,3.2783,8.375,6.513,20.449,9.767
5.1,0.4609,3.6871,0.4863,-1.1014,4.2346,3.8921,3.3033,3.1285,3.0391,7.5698,5.8891,18.975,8.895
5.1,0.5521,3.7023,0.6184,-1.0283,3.8194,3.5132,2.9889,2.8504,2.7918,6.8288,5.3097,17.777,8.143
5.1,0.799,3.7175,0.9394,-1.1147,2.9428,2.6723,2.2104,2.1052,2.0736,5.6665,4.2976,16.209,6.975
5.1,1.1485,3.7314,1.1834,-1.4438,2.2723,2.0314,1.6245,1.5492,1.5438,4.781,3.5389,14.476,6.008
5.1,1.3855,3.7388,1.2375,-1.2939,2.1089,1.8818,1.5028,1.4434,1.4532,4.5128,3.3349,13.957,5.723
5.1,3.6346,3.7957,2.3526,-1.8588,-0.906,-1.0327,-1.1831,-1.1225,-0.9708,1.2625,0.4163,7.83,2.08
5.1,3.8147,3.832,2.4548,-2.9589,-1.2829,-1.3524,-1.3558,-1.2246,-0.9769,0.8332,0.1465,5.756,1.546
5.1,3.9588,3.8669,2.533,-2.9277,-1.5789,-1.5935,-1.4525,-1.2622,-0.9234,0.5448,-0.0268,3.944,1.067
5.1,4.2025,3.9238,2.665,-2.9295,-1.9628,-1.8931,-1.5555,-1.2872,-0.8365,0.0549,-0.3754,1.164,0.154
5.1,4.3934,3.9612,2.7627,-3.0375,-2.1256,-2.0293,-1.6181,-1.3049,-0.8146,-0.365,-0.6931,0.041,-0.496
5.1,4.5814,3.9981,2.849,-3.0825,-2.1978,-2.0859,-1.6336,-1.28,-0.7703,-0.7461,-0.9903,-0.552,-0.921
5.1,4.7706,4.0346,2.927,-3.1165,-2.2203,-2.0977,-1.6145,-1.2262,-0.7041,-1.0526,-1.2258,-0.965,-1.239
5.1,4.9653,4.0711,2.9992,-3.1417,-2.2166,-2.0844,-1.5731,-1.1542,-0.6215,-1.2979,-1.4094,-1.28,-1.479
5.1,5.1686,4.1074,3.0677,-3.1615,-2.1964,-2.0549,-1.5166,-1.07,-0.5275,-1.4968,-1.5524,-1.544,-1.673
